site	rate	t	lnL
1	2.8222102923	1.9373717069	-599129.9405206749
100001	0.8707092566	1.9373717069	-580939.9853566869
200001	2.0827614387	1.9373717069	-598876.4487248565
300001	2.0608063423	1.9373717069	-598853.5735890506
400001	0.1156473022	1.9373717069	-404442.9268820914
500001	2.1794564209	1.9373717069	-598958.0112266225
600001	0.7895764025	1.9373717069	-575565.7900774108
700001	0.9786443116	1.9373717069	-586295.2724569757
800001	2.2107716913	1.9373717069	-598978.8112415520
900001	1.9974330747	1.9373717069	-598776.3616989343
