site	rate	t	lnL
1	2.8151299333	1.9343590884	-599129.2002123272
100001	0.8756054549	1.9343590884	-581145.0714878343
200001	2.1151199495	1.9343590884	-598904.0590006512
300001	2.0148244314	1.9343590884	-598795.3056581594
400001	0.1158206390	1.9343590884	-404438.5368777523
500001	2.1206848619	1.9343590884	-598909.0108736984
600001	0.7878251134	1.9343590884	-575342.1307584476
700001	0.9730069079	1.9343590884	-585993.1901847738
800001	2.1839657345	1.9343590884	-598958.7920869058
900001	2.0370128445	1.9343590884	-598822.8726297640
