site	time	r_tilde_ms	r_tilde_ms_small_t	r_tilde_jc	true_r_jc
2	0.000002	1.4135007489	1.4134974489	1.5725712602	1.5725712599
2	0.020002	1.4448532963	1.4134974489	1.5725712599	1.5725712599
2	0.040002	1.4735391193	1.4134974489	1.5725712599	1.5725712599
2	0.060002	1.5003351563	1.4134974489	1.5725712599	1.5725712599
2	0.080002	1.5258391125	1.4134974489	1.5725712599	1.5725712599
2	0.100002	1.5505043120	1.4134974489	1.5725712599	1.5725712599
2	0.120002	1.5746576998	1.4134974489	1.5725712599	1.5725712599
2	0.140002	1.5985015536	1.4134974489	1.5725712599	1.5725712599
2	0.160002	1.6221004624	1.4134974489	1.5725712599	1.5725712599
2	0.180002	1.6453589425	1.4134974489	1.5725712599	1.5725712599
2	0.200002	1.6680009514	1.4134974489	1.5725712599	1.5725712599
2	0.220002	1.6895690498	1.4134974489	1.5725712599	1.5725712599
2	0.240002	1.7094635212	1.4134974489	1.5725712599	1.5725712599
2	0.260002	1.7270335005	1.4134974489	1.5725712599	1.5725712599
2	0.280002	1.7417094524	1.4134974489	1.5725712599	1.5725712599
2	0.300002	1.7531375893	1.4134974489	1.5725712599	1.5725712599
2	0.320002	1.7612633643	1.4134974489	1.5725712599	1.5725712599
2	0.340002	1.7663299772	1.4134974489	1.5725712599	1.5725712599
2	0.360002	1.7687995904	1.4134974489	1.5725712599	1.5725712599
2	0.380002	1.7692386885	1.4134974489	1.5725712599	1.5725712599
2	0.400002	1.7682131091	1.4134974489	1.5725712599	1.5725712599
2	0.420002	1.7662187630	1.4134974489	1.5725712599	1.5725712599
2	0.440002	1.7636510588	1.4134974489	1.5725712599	1.5725712599
2	0.460002	1.7608027611	1.4134974489	1.5725712599	1.5725712599
2	0.480002	1.7578773161	1.4134974489	1.5725712599	1.5725712599
2	0.500002	1.7550076566	1.4134974489	1.5725712599	1.5725712599
2	0.520002	1.7522746625	1.4134974489	1.5725712599	1.5725712599
2	0.540002	1.7497227033	1.4134974489	1.5725712599	1.5725712599
2	0.560002	1.7473716342	1.4134974489	1.5725712599	1.5725712599
2	0.580002	1.7452255408	1.4134974489	1.5725712599	1.5725712599
2	0.600002	1.7432788587	1.4134974489	1.5725712599	1.5725712599
2	0.620002	1.7415205158	1.4134974489	1.5725712599	1.5725712599
2	0.640002	1.7399366557	1.4134974489	1.5725712599	1.5725712599
2	0.660002	1.7385123714	1.4134974489	1.5725712599	1.5725712599
2	0.680002	1.7372327701	1.4134974489	1.5725712599	1.5725712599
2	0.700002	1.7360835915	1.4134974489	1.5725712599	1.5725712599
2	0.720002	1.7350515389	1.4134974489	1.5725712599	1.5725712599
2	0.740002	1.7341244258	1.4134974489	1.5725712599	1.5725712599
2	0.760002	1.7332912106	1.4134974489	1.5725712599	1.5725712599
2	0.780002	1.7325419652	1.4134974489	1.5725712599	1.5725712599
2	0.800002	1.7318678071	1.4134974489	1.5725712599	1.5725712599
2	0.820002	1.7312608138	1.4134974489	1.5725712599	1.5725712599
2	0.840002	1.7307139315	1.4134974489	1.5725712599	1.5725712599
2	0.860002	1.7302208856	1.4134974489	1.5725712599	1.5725712599
2	0.880002	1.7297760951	1.4134974489	1.5725712599	1.5725712599
2	0.900002	1.7293745941	1.4134974489	1.5725712599	1.5725712599
2	0.920002	1.7290119614	1.4134974489	1.5725712599	1.5725712599
2	0.940002	1.7286842572	1.4134974489	1.5725712599	1.5725712599
2	0.960002	1.7283879669	1.4134974489	1.5725712599	1.5725712599
2	0.980002	1.7281199520	1.4134974489	1.5725712599	1.5725712599
2	1.000002	1.7278774066	1.4134974489	1.5725712599	1.5725712599
2	1.020002	1.7276578194	1.4134974489	1.5725712599	1.5725712599
2	1.040002	1.7274589404	1.4134974489	1.5725712599	1.5725712599
2	1.060002	1.7272787514	1.4134974489	1.5725712599	1.5725712599
2	1.080002	1.7271154405	1.4134974489	1.5725712599	1.5725712599
2	1.100002	1.7269673798	1.4134974489	1.5725712599	1.5725712599
2	1.120002	1.7268331046	1.4134974489	1.5725712599	1.5725712599
2	1.140002	1.7267112971	1.4134974489	1.5725712599	1.5725712599
2	1.160002	1.7266007698	1.4134974489	1.5725712599	1.5725712599
2	1.180002	1.7265004525	1.4134974489	1.5725712599	1.5725712599
2	1.200002	1.7264093800	1.4134974489	1.5725712599	1.5725712599
2	1.220002	1.7263266810	1.4134974489	1.5725712599	1.5725712599
2	1.240002	1.7262515688	1.4134974489	1.5725712599	1.5725712599
2	1.260002	1.7261833329	1.4134974489	1.5725712599	1.5725712599
2	1.280002	1.7261213309	1.4134974489	1.5725712599	1.5725712599
2	1.300002	1.7260649820	1.4134974489	1.5725712599	1.5725712599
2	1.320002	1.7260137609	1.4134974489	1.5725712599	1.5725712599
2	1.340002	1.7259671921	1.4134974489	1.5725712599	1.5725712599
2	1.360002	1.7259248453	1.4134974489	1.5725712599	1.5725712599
2	1.380002	1.7258863309	1.4134974489	1.5725712599	1.5725712599
2	1.400002	1.7258512959	1.4134974489	1.5725712599	1.5725712599
2	1.420002	1.7258194206	1.4134974489	1.5725712599	1.5725712599
2	1.440002	1.7257904152	1.4134974489	1.5725712599	1.5725712599
2	1.460002	1.7257640169	1.4134974489	1.5725712599	1.5725712599
2	1.480002	1.7257399875	1.4134974489	1.5725712599	1.5725712599
2	1.500002	1.7257181111	1.4134974489	1.5725712599	1.5725712599
2	1.520002	1.7256981917	1.4134974489	1.5725712599	1.5725712599
2	1.540002	1.7256800513	1.4134974489	1.5725712599	1.5725712599
2	1.560002	1.7256635287	1.4134974489	1.5725712599	1.5725712599
2	1.580002	1.7256484774	1.4134974489	1.5725712599	1.5725712599
2	1.600002	1.7256347643	1.4134974489	1.5725712599	1.5725712599
2	1.620002	1.7256222687	1.4134974489	1.5725712599	1.5725712599
2	1.640002	1.7256108809	1.4134974489	1.5725712599	1.5725712599
2	1.660002	1.7256005013	1.4134974489	1.5725712599	1.5725712599
2	1.680002	1.7255910392	1.4134974489	1.5725712599	1.5725712599
2	1.700002	1.7255824125	1.4134974489	1.5725712599	1.5725712599
2	1.720002	1.7255745463	1.4134974489	1.5725712599	1.5725712599
2	1.740002	1.7255673726	1.4134974489	1.5725712599	1.5725712599
2	1.760002	1.7255608297	1.4134974489	1.5725712599	1.5725712599
2	1.780002	1.7255548613	1.4134974489	1.5725712599	1.5725712599
2	1.800002	1.7255494163	1.4134974489	1.5725712599	1.5725712599
2	1.820002	1.7255444482	1.4134974489	1.5725712599	1.5725712599
2	1.840002	1.7255399147	1.4134974489	1.5725712599	1.5725712599
2	1.860002	1.7255357772	1.4134974489	1.5725712599	1.5725712599
2	1.880002	1.7255320007	1.4134974489	1.5725712599	1.5725712599
2	1.900002	1.7255285533	1.4134974489	1.5725712599	1.5725712599
2	1.920002	1.7255254061	1.4134974489	1.5725712599	1.5725712599
2	1.940002	1.7255225324	1.4134974489	1.5725712599	1.5725712599
2	1.960002	1.7255199083	1.4134974489	1.5725712599	1.5725712599
2	1.980002	1.7255175118	1.4134974489	1.5725712599	1.5725712599
3	0.000002	0.6788064257	0.6788099829	2.6419120474	2.6419120472
3	0.020002	0.6458070953	0.6788099829	2.6419120472	2.6419120472
3	0.040002	0.6175936916	0.6788099829	2.6419120472	2.6419120472
3	0.060002	0.5935115185	0.6788099829	2.6419120472	2.6419120472
3	0.080002	0.5729161233	0.6788099829	2.6419120472	2.6419120472
3	0.100002	0.5552669026	0.6788099829	2.6419120472	2.6419120472
3	0.120002	0.5401487154	0.6788099829	2.6419120472	2.6419120472
3	0.140002	0.5272619742	0.6788099829	2.6419120472	2.6419120472
3	0.160002	0.5164008450	0.6788099829	2.6419120472	2.6419120472
3	0.180002	0.5074279883	0.6788099829	2.6419120472	2.6419120472
3	0.200002	0.5002491152	0.6788099829	2.6419120472	2.6419120472
3	0.220002	0.4947888039	0.6788099829	2.6419120472	2.6419120472
3	0.240002	0.4909688294	0.6788099829	2.6419120472	2.6419120472
3	0.260002	0.4886906549	0.6788099829	2.6419120472	2.6419120472
3	0.280002	0.4878240957	0.6788099829	2.6419120472	2.6419120472
3	0.300002	0.4882039686	0.6788099829	2.6419120472	2.6419120472
3	0.320002	0.4896353818	0.6788099829	2.6419120472	2.6419120472
3	0.340002	0.4919062047	0.6788099829	2.6419120472	2.6419120472
3	0.360002	0.4948031086	0.6788099829	2.6419120472	2.6419120472
3	0.380002	0.4981267658	0.6788099829	2.6419120472	2.6419120472
3	0.400002	0.5017028647	0.6788099829	2.6419120472	2.6419120472
3	0.420002	0.5053877123	0.6788099829	2.6419120472	2.6419120472
3	0.440002	0.5090690486	0.6788099829	2.6419120472	2.6419120472
3	0.460002	0.5126635936	0.6788099829	2.6419120472	2.6419120472
3	0.480002	0.5161128981	0.6788099829	2.6419120472	2.6419120472
3	0.500002	0.5193786833	0.6788099829	2.6419120472	2.6419120472
3	0.520002	0.5224383898	0.6788099829	2.6419120472	2.6419120472
3	0.540002	0.5252812914	0.6788099829	2.6419120472	2.6419120472
3	0.560002	0.5279052870	0.6788099829	2.6419120472	2.6419120472
3	0.580002	0.5303143526	0.6788099829	2.6419120472	2.6419120472
3	0.600002	0.5325165748	0.6788099829	2.6419120472	2.6419120472
3	0.620002	0.5345226671	0.6788099829	2.6419120472	2.6419120472
3	0.640002	0.5363448728	0.6788099829	2.6419120472	2.6419120472
3	0.660002	0.5379961704	0.6788099829	2.6419120472	2.6419120472
3	0.680002	0.5394897092	0.6788099829	2.6419120472	2.6419120472
3	0.700002	0.5408384203	0.6788099829	2.6419120472	2.6419120472
3	0.720002	0.5420547560	0.6788099829	2.6419120472	2.6419120472
3	0.740002	0.5431505264	0.6788099829	2.6419120472	2.6419120472
3	0.760002	0.5441368038	0.6788099829	2.6419120472	2.6419120472
3	0.780002	0.5450238774	0.6788099829	2.6419120472	2.6419120472
