site	time	r_tilde	r_tilde_small_t_tilde_large_t
1	0.000002	1.397835	1.397825	1.381826
2	0.000002	0.726502	0.726513	0.742160
3	0.000002	1.342066	1.342058	1.571724
4	0.000002	1.199210	1.199210	1.018864
5	0.000002	0.254606	0.254616	0.126918
6	0.000002	1.305342	1.305336	1.340917
7	0.000002	0.357607	0.357614	0.360354
8	0.000002	0.945375	0.945377	1.083944
9	0.000002	1.284264	1.284258	1.338008
10	0.000002	1.187193	1.187192	1.035285
1	0.020002	1.478682	1.397825	1.381826
2	0.020002	0.641841	0.726513	0.742160
3	0.020002	1.404720	1.342058	1.571724
4	0.020002	1.190631	1.199210	1.018864
5	0.020002	0.182698	0.254616	0.126918
6	0.020002	1.347117	1.305336	1.340917
7	0.020002	0.308318	0.357614	0.360354
8	0.020002	0.921857	0.945377	1.083944
9	0.020002	1.339200	1.284258	1.338008
10	0.020002	1.184936	1.187192	1.035285
1	0.040002	1.530029	1.397825	1.381826
2	0.040002	0.593929	0.726513	0.742160
3	0.040002	1.456678	1.342058	1.571724
4	0.040002	1.164983	1.199210	1.018864
5	0.040002	0.145173	0.254616	0.126918
6	0.040002	1.373678	1.305336	1.340917
7	0.040002	0.286209	0.357614	0.360354
8	0.040002	0.903439	0.945377	1.083944
9	0.040002	1.380312	1.284258	1.338008
10	0.040002	1.165569	1.187192	1.035285
1	0.060002	1.545660	1.397825	1.381826
2	0.060002	0.575597	0.726513	0.742160
3	0.060002	1.507829	1.342058	1.571724
4	0.060002	1.131891	1.199210	1.018864
5	0.060002	0.126499	0.254616	0.126918
6	0.060002	1.391509	1.305336	1.340917
7	0.060002	0.279273	0.357614	0.360354
8	0.060002	0.898143	0.945377	1.083944
9	0.060002	1.406438	1.284258	1.338008
10	0.060002	1.137161	1.187192	1.035285
1	0.080002	1.526044	1.397825	1.381826
2	0.080002	0.579929	0.726513	0.742160
3	0.080002	1.554979	1.342058	1.571724
4	0.080002	1.101819	1.199210	1.018864
5	0.080002	0.118405	0.254616	0.126918
6	0.080002	1.400300	1.305336	1.340917
7	0.080002	0.282662	0.357614	0.360354
8	0.080002	0.910048	0.945377	1.083944
9	0.080002	1.415137	1.284258	1.338008
10	0.080002	1.110677	1.187192	1.035285
1	0.100002	1.491625	1.397825	1.381826
2	0.100002	0.598193	0.726513	0.742160
3	0.100002	1.587848	1.342058	1.571724
4	0.100002	1.079672	1.199210	1.018864
5	0.100002	0.116011	0.254616	0.126918
6	0.100002	1.399617	1.305336	1.340917
7	0.100002	0.292113	0.357614	0.360354
8	0.100002	0.934198	0.945377	1.083944
9	0.100002	1.409450	1.284258	1.338008
10	0.100002	1.091271	1.187192	1.035285
1	0.120002	1.460706	1.397825	1.381826
2	0.120002	0.621796	0.726513	0.742160
3	0.120002	1.603226	1.342058	1.571724
4	0.120002	1.064315	1.199210	1.018864
5	0.120002	0.116280	0.254616	0.126918
6	0.120002	1.392669	1.305336	1.340917
7	0.120002	0.303656	0.357614	0.360354
8	0.120002	0.962188	0.945377	1.083944
9	0.120002	1.397301	1.284258	1.338008
10	0.120002	1.077863	1.187192	1.035285
1	0.140002	1.438123	1.397825	1.381826
2	0.140002	0.645127	0.726513	0.742160
3	0.140002	1.606366	1.342058	1.571724
4	0.140002	1.053366	1.199210	1.018864
5	0.140002	0.117548	0.254616	0.126918
6	0.140002	1.383567	1.305336	1.340917
7	0.140002	0.314765	0.357614	0.360354
