site,rate,t,lnL,num_taxa,time,br_len,model,rep
1,1.8438220207,1.1467503695,-590264.378567514,2,0.04,0.02,JC_equalf,1
2,0.7156688334,1.1467503695,-525293.361006102,2,0.04,0.02,JC_equalf,1
3,1.7426255009,1.1467503695,-588330.294396989,2,0.04,0.02,JC_equalf,1
4,1.3997218333,1.1467503695,-578311.474127442,2,0.04,0.02,JC_equalf,1
5,0.1770605735,1.1467503695,-397280.202831905,2,0.04,0.02,JC_equalf,1
6,1.6472136994,1.1467503695,-586142.271247024,2,0.04,0.02,JC_equalf,1
7,0.3441465007,1.1467503695,-452678.510554799,2,0.04,0.02,JC_equalf,1
8,1.0832057708,1.1467503695,-561531.377359253,2,0.04,0.02,JC_equalf,1
9,1.6658635134,1.1467503695,-586600.803280956,2,0.04,0.02,JC_equalf,1
10,1.3980781612,1.1467503695,-578246.773701583,2,0.04,0.02,JC_equalf,1
1,1.8476994963,1.1463296904,-590319.777738268,2,0.04,0.02,JC_equalf,10
2,0.7144930664,1.1463296904,-525098.909946098,2,0.04,0.02,JC_equalf,10
3,1.7401545413,1.1463296904,-588264.911401912,2,0.04,0.02,JC_equalf,10
4,1.3987737904,1.1463296904,-578253.966136144,2,0.04,0.02,JC_equalf,10
5,0.1757766298,1.1463296904,-396739.940140434,2,0.04,0.02,JC_equalf,10
6,1.6562379143,1.1463296904,-586351.158407482,2,0.04,0.02,JC_equalf,10
7,0.3422993203,1.1463296904,-452134.908355611,2,0.04,0.02,JC_equalf,10
8,1.0868210649,1.1463296904,-561754.399936037,2,0.04,0.02,JC_equalf,10
9,1.6552575395,1.1463296904,-586327.00231916,2,0.04,0.02,JC_equalf,10
10,1.4071197826,1.1463296904,-578580.295388225,2,0.04,0.02,JC_equalf,10
1,1.8274162615,1.1460845521,-589956.060521525,2,0.04,0.02,JC_equalf,11
2,0.7163558781,1.1460845521,-525329.975307048,2,0.04,0.02,JC_equalf,11
3,1.7512595203,1.1460845521,-588488.88454158,2,0.04,0.02,JC_equalf,11
4,1.3933852656,1.1460845521,-578028.789786823,2,0.04,0.02,JC_equalf,11
5,0.1778275417,1.1460845521,-397545.465191344,2,0.04,0.02,JC_equalf,11
6,1.660279208,1.1460845521,-586441.596854352,2,0.04,0.02,JC_equalf,11
7,0.3443328134,1.1460845521,-452674.764944415,2,0.04,0.02,JC_equalf,11
8,1.0838032635,1.1460845521,-561529.166886366,2,0.04,0.02,JC_equalf,11
9,1.6502379815,1.1460845521,-586193.8496711,2,0.04,0.02,JC_equalf,11
10,1.4024575045,1.1460845521,-578386.868358984,2,0.04,0.02,JC_equalf,11
1,1.8390921917,1.1452604343,-590139.92564744,2,0.04,0.02,JC_equalf,12
2,0.7146599288,1.1452604343,-525031.229978713,2,0.04,0.02,JC_equalf,12
3,1.7579399102,1.1452604343,-588600.231077517,2,0.04,0.02,JC_equalf,12
4,1.4068667803,1.1452604343,-578519.470703856,2,0.04,0.02,JC_equalf,12
5,0.1718242638,1.1452604343,-395081.377409471,2,0.04,0.02,JC_equalf,12
6,1.6443268501,1.1452604343,-586016.048483179,2,0.04,0.02,JC_equalf,12
7,0.346000108,1.1452604343,-453064.058080112,2,0.04,0.02,JC_equalf,12
8,1.0853792279,1.1452604343,-561584.41501677,2,0.04,0.02,JC_equalf,12
9,1.6590126432,1.1452604343,-586381.330337887,2,0.04,0.02,JC_equalf,12
10,1.4007650756,1.1452604343,-578280.929977693,2,0.04,0.02,JC_equalf,12
1,1.8514821986,1.1431847058,-590297.369729742,2,0.04,0.02,JC_equalf,13
2,0.7148728201,1.1431847058,-524884.510707194,2,0.04,0.02,JC_equalf,13
3,1.7372598728,1.1431847058,-588102.25596229,2,0.04,0.02,JC_equalf,13
4,1.4081307098,1.1431847058,-578469.332150663,2,0.04,0.02,JC_equalf,13
5,0.1738082022,1.1431847058,-395755.888307289,2,0.04,0.02,JC_equalf,13
6,1.6533871714,1.1431847058,-586168.069718456,2,0.04,0.02,JC_equalf,13
7,0.3441548102,1.1431847058,-452386.212431368,2,0.04,0.02,JC_equalf,13
8,1.0848324297,1.1431847058,-561409.733604735,2,0.04,0.02,JC_equalf,13
9,1.6521079676,1.1431847058,-586136.198328478,2,0.04,0.02,JC_equalf,13
10,1.396783304,1.1431847058,-578023.375087071,2,0.04,0.02,JC_equalf,13
1,1.8319327002,1.1473803795,-590073.466576413,2,0.04,0.02,JC_equalf,14
2,0.7137971766,1.1473803795,-525093.270832236,2,0.04,0.02,JC_equalf,14
3,1.7484627329,1.1473803795,-588471.933734347,2,0.04,0.02,JC_equalf,14
4,1.4080901084,1.1473803795,-578667.842773551,2,0.04,0.02,JC_equalf,14
5,0.175088361,1.1473803795,-396528.063713823,2,0.04,0.02,JC_equalf,14
6,1.6485566787,1.1473803795,-586198.397151211,2,0.04,0.02,JC_equalf,14
7,0.3466707906,1.1473803795,-453422.957403964,2,0.04,0.02,JC_equalf,14
8,1.0828336576,1.1473803795,-561546.849391682,2,0.04,0.02,JC_equalf,14
9,1.6632152446,1.1473803795,-586558.819402515,2,0.04,0.02,JC_equalf,14
10,1.3999586663,1.1473803795,-578350.978384568,2,0.04,0.02,JC_equalf,14
1,1.8292894792,1.1440238388,-589930.638331597,2,0.04,0.02,JC_equalf,15
2,0.7135362706,1.1440238388,-524774.400008906,2,0.04,0.02,JC_equalf,15
3,1.7592890882,1.1440238388,-588588.974961125,2,0.04,0.02,JC_equalf,15
4,1.3976688796,1.1440238388,-578099.136269745,2,0.04,0.02,JC_equalf,15
5,0.174691404,1.1440238388,-396162.552286506,2,0.04,0.02,JC_equalf,15
6,1.6464066815,1.1440238388,-586023.664724969,2,0.04,0.02,JC_equalf,15
7,0.3438751213,1.1440238388,-452378.713862647,2,0.04,0.02,JC_equalf,15
8,1.0865844054,1.1440238388,-561586.624348598,2,0.04,0.02,JC_equalf,15
9,1.651017684,1.1440238388,-586139.234915812,2,0.04,0.02,JC_equalf,15
10,1.4121286506,1.1440238388,-578664.271995022,2,0.04,0.02,JC_equalf,15
1,1.8398106742,1.1457072171,-590165.132681126,2,0.04,0.02,JC_equalf,16
2,0.7094794203,1.1457072171,-524364.478591335,2,0.04,0.02,JC_equalf,16
3,1.7562917308,1.1457072171,-588580.529989896,2,0.04,0.02,JC_equalf,16
4,1.3968435682,1.1457072171,-578147.789113652,2,0.04,0.02,JC_equalf,16
5,0.1737505886,1.1457072171,-395886.986703762,2,0.04,0.02,JC_equalf,16
6,1.6479847588,1.1457072171,-586124.049418298,2,0.04,0.02,JC_equalf,16
7,0.3454965385,1.1457072171,-452963.040158275,2,0.04,0.02,JC_equalf,16
8,1.0863264054,1.1457072171,-561679.375052529,2,0.04,0.02,JC_equalf,16
9,1.6626142996,1.1457072171,-586485.225516858,2,0.04,0.02,JC_equalf,16
10,1.411210085,1.1457072171,-578708.890908536,2,0.04,0.02,JC_equalf,16
1,1.8412305486,1.1466146217,-590215.468278072,2,0.04,0.02,JC_equalf,17
2,0.7141697733,1.1466146217,-525079.172344847,2,0.04,0.02,JC_equalf,17
3,1.7540780625,1.1466146217,-588563.632634459,2,0.04,0.02,JC_equalf,17
4,1.4030466826,1.1466146217,-578435.285075542,2,0.04,0.02,JC_equalf,17
5,0.1735458808,1.1466146217,-395859.867756822,2,0.04,0.02,JC_equalf,17
6,1.6504492017,1.1466146217,-586218.096228041,2,0.04,0.02,JC_equalf,17
7,0.3444460602,1.1466146217,-452749.668266896,2,0.04,0.02,JC_equalf,17
8,1.087444916,1.1466146217,-561816.145461053,2,0.04,0.02,JC_equalf,17
9,1.6598194798,1.1466146217,-586449.122911634,2,0.04,0.02,JC_equalf,17
10,1.4008018516,1.1466146217,-578347.388182838,2,0.04,0.02,JC_equalf,17
1,1.8530818005,1.1460317058,-590403.948332462,2,0.04,0.02,JC_equalf,18
2,0.7180397249,1.1460317058,-525552.331630895,2,0.04,0.02,JC_equalf,18
3,1.7416877864,1.1460317058,-588287.669641954,2,0.04,0.02,JC_equalf,18
4,1.4023846012,1.1460317058,-578381.486258951,2,0.04,0.02,JC_equalf,18
5,0.1747892605,1.1460317058,-396325.058560052,2,0.04,0.02,JC_equalf,18
6,1.6544025506,1.1460317058,-586295.272456976,2,0.04,0.02,JC_equalf,18
7,0.3406765533,1.1460317058,-451661.736316318,2,0.04,0.02,JC_equalf,18
8,1.0888294586,1.1460317058,-561873.448490306,2,0.04,0.02,JC_equalf,18
9,1.6584488284,1.1460317058,-586394.899298823,2,0.04,0.02,JC_equalf,18
10,1.3962205408,1.1460317058,-578138.782327444,2,0.04,0.02,JC_equalf,18
1,1.8409420201,1.1445326999,-590151.869079307,2,0.04,0.02,JC_equalf,19
2,0.7156983184,1.1445326999,-525110.18769195,2,0.04,0.02,JC_equalf,19
3,1.7446460595,1.1445326999,-588301.884699838,2,0.04,0.02,JC_equalf,19
4,1.3962743368,1.1445326999,-578068.482607158,2,0.04,0.02,JC_equalf,19
5,0.1730763793,1.1445326999,-395543.292579713,2,0.04,0.02,JC_equalf,19
6,1.6481581988,1.1445326999,-586086.057677382,2,0.04,0.02,JC_equalf,19
7,0.3447177573,1.1445326999,-452652.290299919,2,0.04,0.02,JC_equalf,19
8,1.0895831212,1.1445326999,-561827.167675524,2,0.04,0.02,JC_equalf,19
9,1.6705214587,1.1445326999,-586635.252027998,2,0.04,0.02,JC_equalf,19
10,1.3965470585,1.1445326999,-578079.303345416,2,0.04,0.02,JC_equalf,19
1,1.8263076547,1.147857734,-589986.800027077,2,0.04,0.02,JC_equalf,2
2,0.7163546056,1.147857734,-525479.178745194,2,0.04,0.02,JC_equalf,2
3,1.7567820954,1.147857734,-588657.849643748,2,0.04,0.02,JC_equalf,2
4,1.3949541395,1.147857734,-578176.601663101,2,0.04,0.02,JC_equalf,2
5,0.1769234573,1.147857734,-397293.69657253,2,0.04,0.02,JC_equalf,2
6,1.6525651687,1.147857734,-586314.918097259,2,0.04,0.02,JC_equalf,2
7,0.3484807698,1.147857734,-453956.771663648,2,0.04,0.02,JC_equalf,2
8,1.0785794799,1.147857734,-561281.305328745,2,0.04,0.02,JC_equalf,2
9,1.6626472313,1.147857734,-586561.819934896,2,0.04,0.02,JC_equalf,2
10,1.3967295369,1.147857734,-578246.773701582,2,0.04,0.02,JC_equalf,2
1,1.8481051255,1.1452736667,-590297.369729743,2,0.04,0.02,JC_equalf,20
2,0.7166333714,1.1452736667,-525298.99441728,2,0.04,0.02,JC_equalf,20
3,1.7369082451,1.1452736667,-588162.284151979,2,0.04,0.02,JC_equalf,20
4,1.3915625015,1.1452736667,-577916.786453772,2,0.04,0.02,JC_equalf,20
5,0.172841139,1.1452736667,-395493.513613113,2,0.04,0.02,JC_equalf,20
6,1.6493983745,1.1452736667,-586143.789316577,2,0.04,0.02,JC_equalf,20
7,0.3446447943,1.1452736667,-452693.49252865,2,0.04,0.02,JC_equalf,20
8,1.0868335133,1.1452736667,-561685.997019865,2,0.04,0.02,JC_equalf,20
9,1.6650361541,1.1452736667,-586528.79983926,2,0.04,0.02,JC_equalf,20
10,1.4105877089,1.1452736667,-578664.271995021,2,0.04,0.02,JC_equalf,20
1,1.8525392458,1.1451809376,-590371.104767349,2,0.04,0.02,JC_equalf,21
2,0.7123995469,1.1451809376,-524717.909298285,2,0.04,0.02,JC_equalf,21
3,1.7583373173,1.1451809376,-588605.857487311,2,0.04,0.02,JC_equalf,21
4,1.3904544623,1.1451809376,-577867.945472919,2,0.04,0.02,JC_equalf,21
5,0.1735837165,1.1451809376,-395787.53817177,2,0.04,0.02,JC_equalf,21
6,1.6634402134,1.1451809376,-586486.728984652,2,0.04,0.02,JC_equalf,21
7,0.3460924456,1.1451809376,-453082.761367489,2,0.04,0.02,JC_equalf,21
8,1.0914008787,1.1451809376,-561994.564517473,2,0.04,0.02,JC_equalf,21
9,1.6518447885,1.1451809376,-586201.428483975,2,0.04,0.02,JC_equalf,21
10,1.388649186,1.1451809376,-577795.515684457,2,0.04,0.02,JC_equalf,21
1,1.8251448476,1.1447080541,-589875.691610174,2,0.04,0.02,JC_equalf,22
2,0.7140047037,1.1447080541,-524895.800659456,2,0.04,0.02,JC_equalf,22
3,1.741944169,1.1447080541,-588250.67866437,2,0.04,0.02,JC_equalf,22
4,1.3965151165,1.1447080541,-578086.516080979,2,0.04,0.02,JC_equalf,22
5,0.1729153486,1.1447080541,-395488.987828559,2,0.04,0.02,JC_equalf,22
6,1.6671600812,1.1447080541,-586560.319701077,2,0.04,0.02,JC_equalf,22
7,0.3449788284,1.1447080541,-452738.433960897,2,0.04,0.02,JC_equalf,22
8,1.0850109802,1.1447080541,-561522.535193908,2,0.04,0.02,JC_equalf,22
9,1.6587070002,1.1447080541,-586354.176759797,2,0.04,0.02,JC_equalf,22
10,1.4129515589,1.1447080541,-578728.512333064,2,0.04,0.02,JC_equalf,22
1,1.8468406938,1.1442153287,-590245.883666331,2,0.04,0.02,JC_equalf,23
2,0.7100935059,1.1442153287,-524322.024765144,2,0.04,0.02,JC_equalf,23
3,1.7578941751,1.1442153287,-588566.449546589,2,0.04,0.02,JC_equalf,23
4,1.3992120965,1.1442153287,-578169.399835436,2,0.04,0.02,JC_equalf,23
5,0.1753252853,1.1442153287,-396428.834459476,2,0.04,0.02,JC_equalf,23
6,1.6534217089,1.1442153287,-586205.975002111,2,0.04,0.02,JC_equalf,23
7,0.3438448301,1.1442153287,-452386.212431367,2,0.04,0.02,JC_equalf,23
