site	time	r_tilde	mu_nuc	mu_rate
2	0.000002	-0.0026190782	A	5
2	0.020002	1.4211852823	A	5
2	0.040002	1.4049438782	A	5
2	0.060002	1.4112439385	A	5
2	0.080002	1.4222710338	A	5
2	0.100002	1.4349672195	A	5
2	0.120002	1.4484854188	A	5
2	0.140002	1.4625439808	A	5
2	0.160002	1.4770485429	A	5
2	0.180002	1.4919757506	A	5
2	0.200002	1.5073293101	A	5
2	0.220002	1.5231204855	A	5
2	0.240002	1.5393584358	A	5
2	0.260002	1.5560452065	A	5
2	0.280002	1.5731732479	A	5
2	0.300002	1.5907244414	A	5
2	0.320002	1.6086700757	A	5
2	0.340002	1.6269714283	A	5
2	0.360002	1.6455807258	A	5
2	0.380002	1.6644423264	A	5
2	0.400002	1.6834940171	A	5
2	0.420002	1.7026683535	A	5
2	0.440002	1.7218939939	A	5
2	0.460002	1.7410969999	A	5
2	0.480002	1.7602020886	A	5
2	0.500002	1.7791338277	A	5
2	0.520002	1.7978177725	A	5
2	0.540002	1.8161815420	A	5
2	0.560002	1.8341558316	A	5
2	0.580002	1.8516753552	A	5
2	0.600002	1.8686797094	A	5
2	0.620002	1.8851141451	A	5
2	0.640002	1.9009302323	A	5
2	0.660002	1.9160864011	A	5
2	0.680002	1.9305483443	A	5
2	0.700002	1.9442892683	A	5
2	0.720002	1.9572899838	A	5
2	0.740002	1.9695388348	A	5
2	0.760002	1.9810314686	A	5
2	0.780002	1.9917704608	A	5
2	0.800002	2.0017648091	A	5
2	0.820002	2.0110293228	A	5
2	0.840002	2.0195839306	A	5
2	0.860002	2.0274529371	A	5
2	0.880002	2.0346642562	A	5
2	0.900002	2.0412486456	A	5
2	0.920002	2.0472389681	A	5
2	0.940002	2.0526694973	A	5
2	0.960002	2.0575752830	A	5
2	0.980002	2.0619915863	A	5
2	1.000002	2.0659533899	A	5
2	1.020002	2.0694949852	A	5
2	1.040002	2.0726496359	A	5
2	1.060002	2.0754493125	A	5
2	1.080002	2.0779244929	A	5
2	1.100002	2.0801040227	A	5
2	1.120002	2.0820150262	A	5
2	1.140002	2.0836828622	A	5
2	1.160002	2.0851311157	A	5
2	1.180002	2.0863816195	A	5
2	1.200002	2.0874544993	A	5
2	1.220002	2.0883682363	A	5
2	1.240002	2.0891397430	A	5
2	1.260002	2.0897844470	A	5
2	1.280002	2.0903163814	A	5
2	1.300002	2.0907482768	A	5
2	1.320002	2.0910916544	A	5
2	1.340002	2.0913569167	A	5
2	1.360002	2.0915534373	A	5
2	1.380002	2.0916896451	A	5
2	1.400002	2.0917731061	A	5
2	1.420002	2.0918105992	A	5
2	1.440002	2.0918081877	A	5
2	1.460002	2.0917712861	A	5
2	1.480002	2.0917047212	A	5
2	1.500002	2.0916127890	A	5
2	1.520002	2.0914993070	A	5
2	1.540002	2.0913676614	A	5
2	1.560002	2.0912208510	A	5
2	1.580002	2.0910615265	A	5
2	1.600002	2.0908920268	A	5
2	1.620002	2.0907144111	A	5
2	1.640002	2.0905304887	A	5
2	1.660002	2.0903418454	A	5
2	1.680002	2.0901498678	A	5
2	1.700002	2.0899557645	A	5
2	1.720002	2.0897605858	A	5
2	1.740002	2.0895652412	A	5
2	1.760002	2.0893705150	A	5
2	1.780002	2.0891770802	A	5
2	1.800002	2.0889855114	A	5
2	1.820002	2.0887962959	A	5
2	1.840002	2.0886098439	A	5
2	1.860002	2.0884264972	A	5
2	1.880002	2.0882465378	A	5
2	1.900002	2.0880701948	A	5
2	1.920002	2.0878976505	A	5
2	1.940002	2.0877290469	A	5
2	1.960002	2.0875644900	A	5
2	1.980002	2.0874040548	A	5
3	0.000002	-0.0015855415	A	5
3	0.020002	0.8186746361	A	5
3	0.040002	0.7776065395	A	5
3	0.060002	0.7556342960	A	5
3	0.080002	0.7402629214	A	5
3	0.100002	0.7285017372	A	5
3	0.120002	0.7190995329	A	5
3	0.140002	0.7114074258	A	5
3	0.160002	0.7050534921	A	5
3	0.180002	0.6998104431	A	5
3	0.200002	0.6955306216	A	5
3	0.220002	0.6921109488	A	5
3	0.240002	0.6894732465	A	5
3	0.260002	0.6875530836	A	5
3	0.280002	0.6862935280	A	5
3	0.300002	0.6856417634	A	5
3	0.320002	0.6855473766	A	5
3	0.340002	0.6859616040	A	5
3	0.360002	0.6868371127	A	5
3	0.380002	0.6881280579	A	5
3	0.400002	0.6897902666	A	5
3	0.420002	0.6917814580	A	5
3	0.440002	0.6940614509	A	5
3	0.460002	0.6965923342	A	5
3	0.480002	0.6993385884	A	5
3	0.500002	0.7022671567	A	5
3	0.520002	0.7053474699	A	5
3	0.540002	0.7085514296	A	5
3	0.560002	0.7118533568	A	5
3	0.580002	0.7152299137	A	5
3	0.600002	0.7186600043	A	5
3	0.620002	0.7221246607	A	5
3	0.640002	0.7256069188	A	5
3	0.660002	0.7290916892	A	5
3	0.680002	0.7325656260	A	5
3	0.700002	0.7360169955	A	5
3	0.720002	0.7394355482	A	5
3	0.740002	0.7428123953	A	5
3	0.760002	0.7461398895	A	5
3	0.780002	0.7494115132	A	5
3	0.800002	0.7526217719	A	5
3	0.820002	0.7557660957	A	5
3	0.840002	0.7588407465	A	5
3	0.860002	0.7618427326	A	5
3	0.880002	0.7647697295	A	5
3	0.900002	0.7676200073	A	5
3	0.920002	0.7703923641	A	5
3	0.940002	0.7730860646	A	5
3	0.960002	0.7757007847	A	5
3	0.980002	0.7782365611	A	5
3	1.000002	0.7806937447	A	5
3	1.020002	0.7830729598	A	5
3	1.040002	0.7853750657	A	5
3	1.060002	0.7876011235	A	5
3	1.080002	0.7897523651	A	5
3	1.100002	0.7918301663	A	5
3	1.120002	0.7938360219	A	5
3	1.140002	0.7957715241	A	5
3	1.160002	0.7976383429	A	5
3	1.180002	0.7994382089	A	5
3	1.200002	0.8011728981	A	5
3	1.220002	0.8028442179	A	5
3	1.240002	0.8044539958	A	5
3	1.260002	0.8060040687	A	5
3	1.280002	0.8074962737	A	5
3	1.300002	0.8089324406	A	5
3	1.320002	0.8103143845	A	5
3	1.340002	0.8116439004	A	5
3	1.360002	0.8129227584	A	5
3	1.380002	0.8141526988	A	5
3	1.400002	0.8153354292	A	5
3	1.420002	0.8164726214	A	5
3	1.440002	0.8175659089	A	5
3	1.460002	0.8186168856	A	5
3	1.480002	0.8196271035	A	5
3	1.500002	0.8205980723	A	5
3	1.520002	0.8215312587	A	5
3	1.540002	0.8224280856	A	5
3	1.560002	0.8232899320	A	5
3	1.580002	0.8241181333	A	5
3	1.600002	0.8249139814	A	5
3	1.620002	0.8256787250	A	5
3	1.640002	0.8264135702	A	5
3	1.660002	0.8271196813	A	5
3	1.680002	0.8277981813	A	5
3	1.700002	0.8284501529	A	5
3	1.720002	0.8290766393	A	5
3	1.740002	0.8296786454	A	5
3	1.760002	0.8302571384	A	5
3	1.780002	0.8308130490	A	5
3	1.800002	0.8313472728	A	5
3	1.820002	0.8318606706	A	5
3	1.840002	0.8323540703	A	5
3	1.860002	0.8328282672	A	5
3	1.880002	0.8332840257	A	5
3	1.900002	0.8337220800	A	5
3	1.920002	0.8341431353	A	5
3	1.940002	0.8345478686	A	5
