site	rate	t	lnL
1	1.4869436556	1.0953167416	-579103.5948285481
100001	0.7977471974	1.0953167416	-531289.0955449102
200001	1.3338771302	1.0953167416	-572765.1236153325
300001	1.2982924937	1.0953167416	-571035.9885920925
400001	0.1388720782	1.0953167416	-378444.8025169670
500001	1.3429105496	1.0953167416	-573187.4785033377
600001	0.9250891736	1.0953167416	-544835.2182111769
700001	0.9542731089	1.0953167416	-547542.0937032894
800001	1.3238663274	1.0953167416	-572289.3315652172
900001	1.3834140844	1.0953167416	-575002.4138620140
