site	rate	t	lnL
1	2.1735896803	0.3670849594	-368.7264267714
2	0.6622578691	0.3670849594	-256.7995343391
3	2.1393134222	0.3670849594	-374.3040827836
4	1.7104174603	0.3670849594	-356.8589603110
5	0.1402707773	0.3670849594	-84.3635866598
6	2.4718132751	0.3670849594	-373.7602816474
7	0.6760606074	0.3670849594	-260.0627781407
8	0.6684781107	0.3670849594	-253.8063006138
9	3.1407760879	0.3670849594	-379.5159242474
10	1.8794165536	0.3670849594	-365.4721826350
11	0.6403478044	0.3670849594	-247.5979753198
12	2.2359818428	0.3670849594	-369.8838060654
13	1.0751248918	0.3670849594	-323.8708387905
14	1.1573717673	0.3670849594	-328.7662780180
15	0.3565368120	0.3670849594	-172.3715346984
16	2.5606639580	0.3670849594	-377.1206017127
17	2.1998727799	0.3670849594	-369.9120828420
18	0.9011180940	0.3670849594	-301.8993267881
19	2.1264550054	0.3670849594	-368.4841478645
20	0.3602478656	0.3670849594	-173.3546576341
21	1.0072776474	0.3670849594	-315.0861906226
22	1.0257622133	0.3670849594	-312.2691822894
23	0.8104776111	0.3670849594	-284.9133462245
24	0.2141478479	0.3670849594	-119.1452661096
25	2.0983791704	0.3670849594	-371.0996249368
26	0.1768812794	0.3670849594	-99.7057399421
27	0.4560869723	0.3670849594	-203.4739410516
28	0.0113607519	0.3670849594	-12.4713721426
29	0.1404040380	0.3670849594	-83.2537125859
30	0.7132208381	0.3670849594	-267.0504063040
31	2.0074557443	0.3670849594	-365.0380907607
32	1.0528094504	0.3670849594	-322.3928078602
33	0.3559956233	0.3670849594	-172.0047824906
34	1.2288349375	0.3670849594	-339.2196924800
35	1.0684029676	0.3670849594	-326.3781353922
36	2.3727041844	0.3670849594	-373.9007105600
37	0.6265059008	0.3670849594	-249.4724505981
38	3.3938186390	0.3670849594	-381.1356045452
39	2.2669620970	0.3670849594	-372.9862025943
40	1.0459018783	0.3670849594	-322.1515458084
41	1.6276086995	0.3670849594	-358.1085297924
42	2.5920617332	0.3670849594	-375.9151099941
43	2.0081543169	0.3670849594	-365.9451909657
44	2.1441562490	0.3670849594	-367.9151099513
45	1.6246637580	0.3670849594	-364.4964890100
46	0.6596890451	0.3670849594	-249.2901394337
47	0.9552516008	0.3670849594	-306.2264175984
48	1.2092944632	0.3670849594	-335.1840246784
49	0.8273755118	0.3670849594	-292.7227794601
50	0.6749960547	0.3670849594	-259.1426672752
51	0.0000000000	0.3670849594	-2.9957322736
52	0.4128572362	0.3670849594	-188.7179764384
53	0.5636913751	0.3670849594	-229.3508182312
54	0.5837986609	0.3670849594	-238.3288710682
55	0.4007339294	0.3670849594	-187.3888264308
56	1.0816730985	0.3670849594	-327.6213590935
57	0.2388614838	0.3670849594	-127.4703185322
58	1.2384293920	0.3670849594	-339.1635428364
59	1.9733009686	0.3670849594	-365.6252139351
60	0.5307275857	0.3670849594	-221.9461088734
61	0.0458085374	0.3670849594	-35.3223547004
62	2.7042705245	0.3670849594	-375.7729275721
63	0.9359837905	0.3670849594	-303.8565892024
64	1.2342717138	0.3670849594	-340.8220717933
65	1.6487006473	0.3670849594	-361.0456312008
66	0.2912918950	0.3670849594	-142.9983686471
67	2.2916899520	0.3670849594	-371.3432896714
68	1.1338250631	0.3670849594	-331.8226897101
69	2.3753809479	0.3670849594	-373.4523344865
