site	time	r_tilde	mu_nuc	mu_rate
2	0.000002	-0.0026322493	C	5
2	0.020002	1.4972120941	C	5
2	0.040002	1.4828073254	C	5
2	0.060002	1.4923942068	C	5
2	0.080002	1.5062453608	C	5
2	0.100002	1.5209787123	C	5
2	0.120002	1.5357490498	C	5
2	0.140002	1.5503840679	C	5
2	0.160002	1.5649255872	C	5
2	0.180002	1.5794773426	C	5
2	0.200002	1.5941468460	C	5
2	0.220002	1.6090230978	C	5
2	0.240002	1.6241696261	C	5
2	0.260002	1.6396242434	C	5
2	0.280002	1.6554015529	C	5
2	0.300002	1.6714963436	C	5
2	0.320002	1.6878870318	C	5
2	0.340002	1.7045388120	C	5
2	0.360002	1.7214064220	C	5
2	0.380002	1.7384365301	C	5
2	0.400002	1.7555697936	C	5
2	0.420002	1.7727426442	C	5
2	0.440002	1.7898888528	C	5
2	0.460002	1.8069409163	C	5
2	0.480002	1.8238312992	C	5
2	0.500002	1.8404935543	C	5
2	0.520002	1.8568633382	C	5
2	0.540002	1.8728793299	C	5
2	0.560002	1.8884840560	C	5
2	0.580002	1.9036246212	C	5
2	0.600002	1.9182533364	C	5
2	0.620002	1.9323282394	C	5
2	0.640002	1.9458134980	C	5
2	0.660002	1.9586796888	C	5
2	0.680002	1.9709039464	C	5
2	0.700002	1.9824699801	C	5
2	0.720002	1.9933679615	C	5
2	0.740002	2.0035942891	C	5
2	0.760002	2.0131512407	C	5
2	0.780002	2.0220465302	C	5
2	0.800002	2.0302927855	C	5
2	0.820002	2.0379069698	C	5
2	0.840002	2.0449097661	C	5
2	0.860002	2.0513249469	C	5
2	0.880002	2.0571787474	C	5
2	0.900002	2.0624992611	C	5
2	0.920002	2.0673158698	C	5
2	0.940002	2.0716587207	C	5
2	0.960002	2.0755582572	C	5
2	0.980002	2.0790448082	C	5
2	1.000002	2.0821482377	C	5
2	1.020002	2.0848976539	C	5
2	1.040002	2.0873211748	C	5
2	1.060002	2.0894457475	C	5
2	1.080002	2.0912970145	C	5
2	1.100002	2.0928992227	C	5
2	1.120002	2.0942751700	C	5
2	1.140002	2.0954461818	C	5
2	1.160002	2.0964321144	C	5
2	1.180002	2.0972513787	C	5
2	1.200002	2.0979209802	C	5
2	1.220002	2.0984565723	C	5
2	1.240002	2.0988725175	C	5
2	1.260002	2.0991819557	C	5
2	1.280002	2.0993968757	C	5
2	1.300002	2.0995281888	C	5
2	1.320002	2.0995858025	C	5
2	1.340002	2.0995786930	C	5
2	1.360002	2.0995149759	C	5
2	1.380002	2.0994019743	C	5
2	1.400002	2.0992462832	C	5
2	1.420002	2.0990538315	C	5
2	1.440002	2.0988299388	C	5
2	1.460002	2.0985793699	C	5
2	1.480002	2.0983063845	C	5
2	1.500002	2.0980147836	C	5
2	1.520002	2.0977079529	C	5
2	1.540002	2.0973889015	C	5
2	1.560002	2.0970602983	C	5
2	1.580002	2.0967245055	C	5
2	1.600002	2.0963836081	C	5
2	1.620002	2.0960394424	C	5
2	1.640002	2.0956936201	C	5
2	1.660002	2.0953475518	C	5
2	1.680002	2.0950024674	C	5
2	1.700002	2.0946594348	C	5
2	1.720002	2.0943193770	C	5
2	1.740002	2.0939830875	C	5
2	1.760002	2.0936512439	C	5
2	1.780002	2.0933244205	C	5
2	1.800002	2.0930030997	C	5
2	1.820002	2.0926876822	C	5
2	1.840002	2.0923784957	C	5
2	1.860002	2.0920758039	C	5
2	1.880002	2.0917798131	C	5
2	1.900002	2.0914906795	C	5
2	1.920002	2.0912085147	C	5
2	1.940002	2.0909333913	C	5
2	1.960002	2.0906653478	C	5
2	1.980002	2.0904043926	C	5
3	0.000002	-0.0013645603	C	5
3	0.020002	0.7206573526	C	5
3	0.040002	0.6721643630	C	5
3	0.060002	0.6445318337	C	5
3	0.080002	0.6255177198	C	5
3	0.100002	0.6118393818	C	5
3	0.120002	0.6019132077	C	5
3	0.140002	0.5947839529	C	5
3	0.160002	0.5898131119	C	5
3	0.180002	0.5865491224	C	5
3	0.200002	0.5846607745	C	5
3	0.220002	0.5838984558	C	5
3	0.240002	0.5840697461	C	5
3	0.260002	0.5850232537	C	5
3	0.280002	0.5866375556	C	5
3	0.300002	0.5888134637	C	5
3	0.320002	0.5914685406	C	5
3	0.340002	0.5945331676	C	5
3	0.360002	0.5979477053	C	5
3	0.380002	0.6016604273	C	5
3	0.400002	0.6056260049	C	5
3	0.420002	0.6098043866	C	5
3	0.440002	0.6141599590	C	5
3	0.460002	0.6186609101	C	5
3	0.480002	0.6232787367	C	5
3	0.500002	0.6279878555	C	5
3	0.520002	0.6327652891	C	5
3	0.540002	0.6375904057	C	5
3	0.560002	0.6424446983	C	5
3	0.580002	0.6473115933	C	5
3	0.600002	0.6521762819	C	5
3	0.620002	0.6570255684	C	5
3	0.640002	0.6618477329	C	5
3	0.660002	0.6666324062	C	5
3	0.680002	0.6713704540	C	5
3	0.700002	0.6760538705	C	5
3	0.720002	0.6806756806	C	5
3	0.740002	0.6852298482	C	5
3	0.760002	0.6897111926	C	5
3	0.780002	0.6941153101	C	5
3	0.800002	0.6984385030	C	5
3	0.820002	0.7026777126	C	5
3	0.840002	0.7068304580	C	5
3	0.860002	0.7108947807	C	5
3	0.880002	0.7148691917	C	5
3	0.900002	0.7187526251	C	5
3	0.920002	0.7225443937	C	5
3	0.940002	0.7262441494	C	5
3	0.960002	0.7298518466	C	5
3	0.980002	0.7333677089	C	5
3	1.000002	0.7367921983	C	5
3	1.020002	0.7401259874	C	5
3	1.040002	0.7433699342	C	5
3	1.060002	0.7465250585	C	5
3	1.080002	0.7495925215	C	5
3	1.100002	0.7525736059	C	5
3	1.120002	0.7554696992	C	5
