site	time	r_tilde_ms	r_tilde_ms_small_t	r_tilde_jc	true_r_jc
2	0.000002	1.5519921521	1.5519878559	0.7586086874	0.7586086873
2	0.020002	1.5934914052	1.5519878559	0.7586086873	0.7586086873
2	0.040002	1.6327355395	1.5519878559	0.7586086873	0.7586086873
2	0.060002	1.6704267612	1.5519878559	0.7586086873	0.7586086873
2	0.080002	1.7070156665	1.5519878559	0.7586086873	0.7586086873
2	0.100002	1.7427918130	1.5519878559	0.7586086873	0.7586086873
2	0.120002	1.7779156233	1.5519878559	0.7586086873	0.7586086873
2	0.140002	1.8124199689	1.5519878559	0.7586086873	0.7586086873
2	0.160002	1.8461939525	1.5519878559	0.7586086873	0.7586086873
2	0.180002	1.8789590611	1.5519878559	0.7586086873	0.7586086873
2	0.200002	1.9102513345	1.5519878559	0.7586086873	0.7586086873
2	0.220002	1.9394287815	1.5519878559	0.7586086873	0.7586086873
2	0.240002	1.9657253823	1.5519878559	0.7586086873	0.7586086873
2	0.260002	1.9883635762	1.5519878559	0.7586086873	0.7586086873
2	0.280002	2.0067112761	1.5519878559	0.7586086873	0.7586086873
2	0.300002	2.0204361425	1.5519878559	0.7586086873	0.7586086873
2	0.320002	2.0295943246	1.5519878559	0.7586086873	0.7586086873
2	0.340002	2.0346142039	1.5519878559	0.7586086873	0.7586086873
2	0.360002	2.0361869651	1.5519878559	0.7586086873	0.7586086873
2	0.380002	2.0351167673	1.5519878559	0.7586086873	0.7586086873
2	0.400002	2.0321871402	1.5519878559	0.7586086873	0.7586086873
2	0.420002	2.0280749894	1.5519878559	0.7586086873	0.7586086873
2	0.440002	2.0233146655	1.5519878559	0.7586086873	0.7586086873
2	0.460002	2.0182982273	1.5519878559	0.7586086873	0.7586086873
2	0.480002	2.0132950720	1.5519878559	0.7586086873	0.7586086873
2	0.500002	2.0084781328	1.5519878559	0.7586086873	0.7586086873
2	0.520002	2.0039492395	1.5519878559	0.7586086873	0.7586086873
2	0.540002	1.9997604048	1.5519878559	0.7586086873	0.7586086873
2	0.560002	1.9959302747	1.5519878559	0.7586086873	0.7586086873
2	0.580002	1.9924561641	1.5519878559	0.7586086873	0.7586086873
2	0.600002	1.9893225186	1.5519878559	0.7586086873	0.7586086873
2	0.620002	1.9865066701	1.5519878559	0.7586086873	0.7586086873
2	0.640002	1.9839826347	1.5519878559	0.7586086873	0.7586086873
2	0.660002	1.9817235362	1.5519878559	0.7586086873	0.7586086873
2	0.680002	1.9797030890	1.5519878559	0.7586086873	0.7586086873
2	0.700002	1.9778964516	1.5519878559	0.7586086873	0.7586086873
2	0.720002	1.9762806668	1.5519878559	0.7586086873	0.7586086873
2	0.740002	1.9748348386	1.5519878559	0.7586086873	0.7586086873
2	0.760002	1.9735401455	1.5519878559	0.7586086873	0.7586086873
2	0.780002	1.9723797584	1.5519878559	0.7586086873	0.7586086873
2	0.800002	1.9713387046	1.5519878559	0.7586086873	0.7586086873
2	0.820002	1.9704037089	1.5519878559	0.7586086873	0.7586086873
2	0.840002	1.9695630260	1.5519878559	0.7586086873	0.7586086873
2	0.860002	1.9688062780	1.5519878559	0.7586086873	0.7586086873
2	0.880002	1.9681243001	1.5519878559	0.7586086873	0.7586086873
2	0.900002	1.9675089992	1.5519878559	0.7586086873	0.7586086873
2	0.920002	1.9669532264	1.5519878559	0.7586086873	0.7586086873
2	0.940002	1.9664506628	1.5519878559	0.7586086873	0.7586086873
2	0.960002	1.9659957182	1.5519878559	0.7586086873	0.7586086873
2	0.980002	1.9655834420	1.5519878559	0.7586086873	0.7586086873
2	1.000002	1.9652094453	1.5519878559	0.7586086873	0.7586086873
2	1.020002	1.9648698323	1.5519878559	0.7586086873	0.7586086873
2	1.040002	1.9645611403	1.5519878559	0.7586086873	0.7586086873
2	1.060002	1.9642802880	1.5519878559	0.7586086873	0.7586086873
2	1.080002	1.9640245298	1.5519878559	0.7586086873	0.7586086873
2	1.100002	1.9637914159	1.5519878559	0.7586086873	0.7586086873
2	1.120002	1.9635787576	1.5519878559	0.7586086873	0.7586086873
2	1.140002	1.9633845973	1.5519878559	0.7586086873	0.7586086873
2	1.160002	1.9632071816	1.5519878559	0.7586086873	0.7586086873
2	1.180002	1.9630449383	1.5519878559	0.7586086873	0.7586086873
2	1.200002	1.9628964559	1.5519878559	0.7586086873	0.7586086873
2	1.220002	1.9627604659	1.5519878559	0.7586086873	0.7586086873
2	1.240002	1.9626358268	1.5519878559	0.7586086873	0.7586086873
2	1.260002	1.9625215103	1.5519878559	0.7586086873	0.7586086873
2	1.280002	1.9624165895	1.5519878559	0.7586086873	0.7586086873
2	1.300002	1.9623202275	1.5519878559	0.7586086873	0.7586086873
2	1.320002	1.9622316682	1.5519878559	0.7586086873	0.7586086873
2	1.340002	1.9621502280	1.5519878559	0.7586086873	0.7586086873
2	1.360002	1.9620752878	1.5519878559	0.7586086873	0.7586086873
2	1.380002	1.9620062870	1.5519878559	0.7586086873	0.7586086873
2	1.400002	1.9619427171	1.5519878559	0.7586086873	0.7586086873
2	1.420002	1.9618841166	1.5519878559	0.7586086873	0.7586086873
2	1.440002	1.9618300664	1.5519878559	0.7586086873	0.7586086873
2	1.460002	1.9617801855	1.5519878559	0.7586086873	0.7586086873
2	1.480002	1.9617341272	1.5519878559	0.7586086873	0.7586086873
2	1.500002	1.9616915760	1.5519878559	0.7586086873	0.7586086873
2	1.520002	1.9616522443	1.5519878559	0.7586086873	0.7586086873
2	1.540002	1.9616158701	1.5519878559	0.7586086873	0.7586086873
2	1.560002	1.9615822141	1.5519878559	0.7586086873	0.7586086873
2	1.580002	1.9615510579	1.5519878559	0.7586086873	0.7586086873
2	1.600002	1.9615222022	1.5519878559	0.7586086873	0.7586086873
2	1.620002	1.9614954644	1.5519878559	0.7586086873	0.7586086873
2	1.640002	1.9614706777	1.5519878559	0.7586086873	0.7586086873
2	1.660002	1.9614476894	1.5519878559	0.7586086873	0.7586086873
2	1.680002	1.9614263595	1.5519878559	0.7586086873	0.7586086873
2	1.700002	1.9614065599	1.5519878559	0.7586086873	0.7586086873
2	1.720002	1.9613881729	1.5519878559	0.7586086873	0.7586086873
2	1.740002	1.9613710907	1.5519878559	0.7586086873	0.7586086873
2	1.760002	1.9613552142	1.5519878559	0.7586086873	0.7586086873
2	1.780002	1.9613404523	1.5519878559	0.7586086873	0.7586086873
2	1.800002	1.9613267215	1.5519878559	0.7586086873	0.7586086873
2	1.820002	1.9613139448	1.5519878559	0.7586086873	0.7586086873
2	1.840002	1.9613020514	1.5519878559	0.7586086873	0.7586086873
2	1.860002	1.9612909762	1.5519878559	0.7586086873	0.7586086873
2	1.880002	1.9612806592	1.5519878559	0.7586086873	0.7586086873
2	1.900002	1.9612710450	1.5519878559	0.7586086873	0.7586086873
2	1.920002	1.9612620826	1.5519878559	0.7586086873	0.7586086873
2	1.940002	1.9612537251	1.5519878559	0.7586086873	0.7586086873
2	1.960002	1.9612459289	1.5519878559	0.7586086873	0.7586086873
2	1.980002	1.9612386541	1.5519878559	0.7586086873	0.7586086873
3	0.000002	0.7453142463	0.7453178290	1.1612639910	1.1612639912
3	0.020002	0.7122439755	0.7453178290	1.1612639912	1.1612639912
3	0.040002	0.6843165248	0.7453178290	1.1612639912	1.1612639912
3	0.060002	0.6607973688	0.7453178290	1.1612639912	1.1612639912
3	0.080002	0.6409435897	0.7453178290	1.1612639912	1.1612639912
3	0.100002	0.6241289395	0.7453178290	1.1612639912	1.1612639912
3	0.120002	0.6098714915	0.7453178290	1.1612639912	1.1612639912
3	0.140002	0.5978224599	0.7453178290	1.1612639912	1.1612639912
3	0.160002	0.5877417208	0.7453178290	1.1612639912	1.1612639912
3	0.180002	0.5794701641	0.7453178290	1.1612639912	1.1612639912
3	0.200002	0.5729022750	0.7453178290	1.1612639912	1.1612639912
3	0.220002	0.5679600057	0.7453178290	1.1612639912	1.1612639912
3	0.240002	0.5645688708	0.7453178290	1.1612639912	1.1612639912
3	0.260002	0.5626380136	0.7453178290	1.1612639912	1.1612639912
3	0.280002	0.5620467365	0.7453178290	1.1612639912	1.1612639912
3	0.300002	0.5626397774	0.7453178290	1.1612639912	1.1612639912
3	0.320002	0.5642320235	0.7453178290	1.1612639912	1.1612639912
3	0.340002	0.5666208262	0.7453178290	1.1612639912	1.1612639912
3	0.360002	0.5696019184	0.7453178290	1.1612639912	1.1612639912
3	0.380002	0.5729843802	0.7453178290	1.1612639912	1.1612639912
3	0.400002	0.5766013749	0.7453178290	1.1612639912	1.1612639912
3	0.420002	0.5803155310	0.7453178290	1.1612639912	1.1612639912
3	0.440002	0.5840196487	0.7453178290	1.1612639912	1.1612639912
3	0.460002	0.5876342569	0.7453178290	1.1612639912	1.1612639912
3	0.480002	0.5911035684	0.7453178290	1.1612639912	1.1612639912
3	0.500002	0.5943909841	0.7453178290	1.1612639912	1.1612639912
3	0.520002	0.5974748345	0.7453178290	1.1612639912	1.1612639912
3	0.540002	0.6003446866	0.7453178290	1.1612639912	1.1612639912
3	0.560002	0.6029983112	0.7453178290	1.1612639912	1.1612639912
3	0.580002	0.6054392834	0.7453178290	1.1612639912	1.1612639912
3	0.600002	0.6076751339	0.7453178290	1.1612639912	1.1612639912
3	0.620002	0.6097159544	0.7453178290	1.1612639912	1.1612639912
3	0.640002	0.6115733641	0.7453178290	1.1612639912	1.1612639912
3	0.660002	0.6132597563	0.7453178290	1.1612639912	1.1612639912
3	0.680002	0.6147877603	0.7453178290	1.1612639912	1.1612639912
3	0.700002	0.6161698651	0.7453178290	1.1612639912	1.1612639912
3	0.720002	0.6174181635	0.7453178290	1.1612639912	1.1612639912
3	0.740002	0.6185441865	0.7453178290	1.1612639912	1.1612639912
3	0.760002	0.6195588026	0.7453178290	1.1612639912	1.1612639912
