site	rate	t	lnL
1	2.9759478493	1.8643233320	-59913.2368968249
10001	2.6904741730	1.8643233320	-59910.6240418075
20001	2.7731578814	1.8643233320	-59911.6753558419
30001	2.6188490102	1.8643233320	-59909.4202662935
40001	2.9208855369	1.8643233320	-59912.9200212327
50001	2.6655212746	1.8643233320	-59910.2396105886
60001	2.8363351340	1.8643233320	-59912.2903838595
70001	3.0057551742	1.8643233320	-59913.3835411377
80001	2.4815690546	1.8643233320	-59906.0310915746
90001	2.4932286583	1.8643233320	-59906.3883505151
100001	0.8419737416	1.8643233320	-57706.2791827321
110001	0.8291062533	1.8643233320	-57617.6545597691
120001	0.8408892871	1.8643233320	-57698.9408026216
130001	0.8363061853	1.8643233320	-57667.6571120007
140001	0.8314955121	1.8643233320	-57634.3651284908
150001	0.8403482635	1.8643233320	-57695.2683956280
160001	0.8262004779	1.8643233320	-57597.1722613242
170001	0.8438762194	1.8643233320	-57719.1006816800
180001	0.8433318446	1.8643233320	-57715.4400823780
190001	0.8291062383	1.8643233320	-57617.6545597694
200001	2.1580204890	1.8643233320	-59887.0266220864
210001	2.1838758828	1.8643233320	-59889.4610520203
220001	2.0955451124	1.8643233320	-59880.1519975772
230001	2.1972863078	1.8643233320	-59890.6395150607
240001	2.1486377094	1.8643233320	-59886.0872541106
250001	2.0221686199	1.8643233320	-59869.9224908001
260001	2.1011914866	1.8643233320	-59880.8365692939
270001	2.1939021348	1.8643233320	-59890.3473337739
280001	2.2433409595	1.8643233320	-59894.2889879553
290001	2.0681725397	1.8643233320	-59876.6361936584
300001	2.0197245229	1.8643233320	-59869.5351660781
310001	2.0789537274	1.8643233320	-59878.0610383161
320001	2.0681724622	1.8643233320	-59876.6361936583
330001	2.0576029013	1.8643233320	-59875.1868037253
340001	2.0816842130	1.8643233320	-59878.4133990506
350001	2.1303480891	1.8643233320	-59884.1655633716
360001	2.1011913484	1.8643233320	-59880.8365692939
370001	2.0345564703	1.8643233320	-59871.8365972981
380001	2.0655108515	1.8643233320	-59876.2761422397
390001	2.1214346082	1.8643233320	-59883.1833581589
400001	0.1188451851	1.8643233320	-40361.2061934472
410001	0.1129584796	1.8643233320	-39989.0854950902
420001	0.1189861396	1.8643233320	-40370.0094186471
430001	0.1150534504	1.8643233320	-40122.5248124593
440001	0.1189156596	1.8643233320	-40365.6081323820
450001	0.1150534630	1.8643233320	-40122.5248124593
460001	0.1196914424	1.8643233320	-40413.9864425739
470001	0.1165248448	1.8643233320	-40215.5743091139
480001	0.1194797408	1.8643233320	-40400.8001699543
490001	0.1128191052	1.8643233320	-39980.1679844552
500001	2.1972853465	1.8643233320	-59890.6395150608
510001	2.1455461574	1.8643233320	-59885.7709423166
520001	2.2470527747	1.8643233320	-59894.5581819725
530001	2.3359819188	1.8643233320	-59900.0562271275
540001	2.2287448577	1.8643233320	-59893.1956629063
550001	2.3630327147	1.8643233320	-59901.4128193750
560001	2.1424722725	1.8643233320	-59885.4530396152
570001	2.2621642547	1.8643233320	-59895.6183371786
580001	2.3060566623	1.8643233320	-59898.3955709425
590001	2.2777120555	1.8643233320	-59896.6517828203
600001	0.6958665158	1.8643233320	-56473.5318738082
610001	0.7050356829	1.8643233320	-56567.3455640277
620001	0.6872577972	1.8643233320	-56383.1374005713
630001	0.6979365275	1.8643233320	-56494.9329576481
640001	0.7023103358	1.8643233320	-56539.7225779519
650001	0.6956598486	1.8643233320	-56471.3891909205
660001	0.6886829933	1.8643233320	-56398.2601978878
670001	0.7147923009	1.8643233320	-56664.4471953736
680001	0.6925706311	1.8643233320	-56439.1928631630
690001	0.6931870572	1.8643233320	-56445.6405349224
700001	0.9568035575	1.8643233320	-58364.4306069525
710001	0.9770083233	1.8643233320	-58458.7815999040
720001	0.9897210368	1.8643233320	-58515.3003471743
730001	0.9524522969	1.8643233320	-58343.3573682948
740001	0.9707631170	1.8643233320	-58430.2219415142
750001	0.9662974801	1.8643233320	-58409.4720309486
760001	0.9662974869	1.8643233320	-58409.4720309485
770001	0.9826213270	1.8643233320	-58484.0003144872
780001	0.9541217060	1.8643233320	-58351.4745029329
790001	0.9598368843	1.8643233320	-58378.9600417400
800001	2.2698813424	1.8643233320	-59896.1384084303
810001	2.3538633938	1.8643233320	-59900.9675138813
820001	2.2470538281	1.8643233320	-59894.5581819723
830001	2.1517468424	1.8643233320	-59886.4019728045
840001	2.2816710089	1.8643233320	-59896.9059525642
850001	2.1303515057	1.8643233320	-59884.1655633716
860001	2.1303501408	1.8643233320	-59884.1655633718
870001	2.1068988075	1.8643233320	-59881.5149058880
880001	2.1939022544	1.8643233320	-59890.3473337739
890001	2.3676767410	1.8643233320	-59901.6328785193
900001	2.0370687725	1.8643233320	-59872.2149016213
910001	2.0708477286	1.8643233320	-59876.9947110045
920001	2.0602258600	1.8643233320	-59875.5514452613
930001	2.0320558072	1.8643233320	-59871.4567847254
940001	2.1548756593	1.8643233320	-59886.7150961986
950001	1.9730526893	1.8643233320	-59861.4768906477
960001	2.1455462601	1.8643233320	-59885.7709423165
970001	2.0816841760	1.8643233320	-59878.4133990507
980001	2.1548746274	1.8643233320	-59886.7150961986
990001	2.0246229419	1.8643233320	-59870.3083169539
