site,rate,t,lnL,num_taxa,time,model
1,1.5552985501,0.4899314511,-518044.511842952,2,0.04,JC_equalf
2,0.6531276868,0.4899314511,-433494.182793419,2,0.04,JC_equalf
3,1.4290570497,0.4899314511,-509629.285471142,2,0.04,JC_equalf
4,1.3689376455,0.4899314511,-505315.343224808,2,0.04,JC_equalf
5,0.1688363064,0.4899314511,-348524.022381599,2,0.04,JC_equalf
6,1.4205071171,0.4899314511,-509028.311634966,2,0.04,JC_equalf
7,0.4316421279,0.4899314511,-400193.848092873,2,0.04,JC_equalf
8,0.8051066652,0.4899314511,-452629.813971527,2,0.04,JC_equalf
9,1.3857290535,0.4899314511,-506541.122016383,2,0.04,JC_equalf
10,1.3501173327,0.4899314511,-503921.740646778,2,0.04,JC_equalf
1,1.5653716354,0.4917542617,-519045.949429785,2,0.04,JC_equalf
2,0.6517092025,0.4917542617,-433629.800125398,2,0.04,JC_equalf
3,1.4231564177,0.4917542617,-509586.843995237,2,0.04,JC_equalf
4,1.3646167579,0.4917542617,-505370.917907804,2,0.04,JC_equalf
5,0.1653524786,0.4917542617,-347852.495275368,2,0.04,JC_equalf
6,1.4217346498,0.4917542617,-509486.772293869,2,0.04,JC_equalf
7,0.4301743785,0.4917542617,-400216.114682265,2,0.04,JC_equalf
8,0.8039969173,0.4917542617,-452850.758088496,2,0.04,JC_equalf
9,1.4001003918,0.4917542617,-507949.925911535,2,0.04,JC_equalf
10,1.3503453942,0.4917542617,-504312.770688422,2,0.04,JC_equalf
1,1.5502236428,0.4919573814,-518129.118105858,2,0.04,JC_equalf
2,0.6566352903,0.4919573814,-434330.861052632,2,0.04,JC_equalf
3,1.4227411594,0.4919573814,-509598.970932729,2,0.04,JC_equalf
4,1.371055644,0.4919573814,-505885.906503803,2,0.04,JC_equalf
5,0.1666075962,0.4919573814,-348163.962601193,2,0.04,JC_equalf
6,1.417620508,0.4919573814,-509237.920301618,2,0.04,JC_equalf
7,0.4327745818,0.4919573814,-400683.324260104,2,0.04,JC_equalf
8,0.8034424628,0.4919573814,-452824.552888051,2,0.04,JC_equalf
9,1.4105843974,0.4919573814,-508739.407687299,2,0.04,JC_equalf
10,1.3395884968,0.4919573814,-503548.736827941,2,0.04,JC_equalf
1,1.5652476807,0.4921708854,-519121.447017324,2,0.04,JC_equalf
2,0.6513047529,0.4921708854,-433649.738788086,2,0.04,JC_equalf
3,1.4243643744,0.4921708854,-509756.562770931,2,0.04,JC_equalf
4,1.3646754315,0.4921708854,-505460.427498383,2,0.04,JC_equalf
5,0.1642848082,0.4921708854,-347633.63946441,2,0.04,JC_equalf
6,1.4298906866,0.4921708854,-510144.019526039,2,0.04,JC_equalf
7,0.4298895466,0.4921708854,-400229.473826832,2,0.04,JC_equalf
8,0.8123237866,0.4921708854,-453908.282413182,2,0.04,JC_equalf
9,1.3960220422,0.4921708854,-507742.202862397,2,0.04,JC_equalf
10,1.338056641,0.4921708854,-503477.178200352,2,0.04,JC_equalf
1,1.5523824199,0.4928306148,-518440.994941785,2,0.04,JC_equalf
2,0.6551473048,0.4928306148,-434287.091722129,2,0.04,JC_equalf
3,1.4184577624,0.4928306148,-509474.6394249,2,0.04,JC_equalf
4,1.3630575567,0.4928306148,-505475.856769285,2,0.04,JC_equalf
5,0.1660110503,0.4928306148,-348092.967659489,2,0.04,JC_equalf
6,1.4369765081,0.4928306148,-510772.236812026,2,0.04,JC_equalf
7,0.4334088385,0.4928306148,-400918.872623024,2,0.04,JC_equalf
8,0.8052879788,0.4928306148,-453209.912778304,2,0.04,JC_equalf
9,1.4014269511,0.4928306148,-508264.211938437,2,0.04,JC_equalf
10,1.3409752172,0.4928306148,-503831.651190802,2,0.04,JC_equalf
1,1.5547504699,0.4918472095,-518394.388279883,2,0.04,JC_equalf
2,0.6546254661,0.4918472095,-434040.274812603,2,0.04,JC_equalf
3,1.4380251841,0.4918472095,-510645.524881001,2,0.04,JC_equalf
4,1.3564195999,0.4918472095,-504783.639189615,2,0.04,JC_equalf
5,0.16012792,0.4918472095,-346623.869149962,2,0.04,JC_equalf
6,1.4169063998,0.4918472095,-509165.034586273,2,0.04,JC_equalf
7,0.4346198701,0.4918472095,-400976.619891379,2,0.04,JC_equalf
8,0.8105934441,0.4918472095,-453643.317799295,2,0.04,JC_equalf
9,1.405638306,0.4918472095,-508364.815508651,2,0.04,JC_equalf
10,1.3428690602,0.4918472095,-503772.608703729,2,0.04,JC_equalf
1,1.5560737393,0.4919814917,-518505.062377641,2,0.04,JC_equalf
2,0.6525877574,0.4919814917,-433789.273102275,2,0.04,JC_equalf
3,1.4312197299,0.4919814917,-510198.452984937,2,0.04,JC_equalf
4,1.367715342,0.4919814917,-505645.51242228,2,0.04,JC_equalf
5,0.1647888504,0.4919814917,-347737.625093361,2,0.04,JC_equalf
6,1.4266821309,0.4919814917,-509880.741475384,2,0.04,JC_equalf
7,0.4289449436,0.4919814917,-400042.390556694,2,0.04,JC_equalf
8,0.8016248934,0.4919814917,-452614.828817011,2,0.04,JC_equalf
9,1.404827375,0.4919814917,-508334.33419075,2,0.04,JC_equalf
10,1.3436625312,0.4919814917,-503859.613611204,2,0.04,JC_equalf
1,1.5530014261,0.4923138226,-518376.908141022,2,0.04,JC_equalf
2,0.652559894,0.4923138226,-433845.069036839,2,0.04,JC_equalf
3,1.4193445075,0.4923138226,-509432.169333516,2,0.04,JC_equalf
4,1.3724990213,0.4923138226,-506064.502584032,2,0.04,JC_equalf
5,0.1675083701,0.4923138226,-348404.072112689,2,0.04,JC_equalf
6,1.4261070249,0.4923138226,-509907.991199533,2,0.04,JC_equalf
7,0.4281009393,0.4923138226,-399948.804261187,2,0.04,JC_equalf
8,0.8052431342,0.4923138226,-453105.203771919,2,0.04,JC_equalf
9,1.4017038973,0.4923138226,-508178.817079615,2,0.04,JC_equalf
10,1.3489768414,0.4923138226,-504325.17387543,2,0.04,JC_equalf
1,1.5489874596,0.4905604268,-517770.039575078,2,0.04,JC_equalf
2,0.6535908895,0.4905604268,-433669.676153143,2,0.04,JC_equalf
3,1.4222176543,0.4905604268,-509277.390423667,2,0.04,JC_equalf
4,1.3760557227,0.4905604268,-505965.983531386,2,0.04,JC_equalf
5,0.1669423336,0.4905604268,-348131.198743345,2,0.04,JC_equalf
6,1.421657511,0.4905604268,-509237.920301618,2,0.04,JC_equalf
7,0.4365838285,0.4905604268,-401114.27928118,2,0.04,JC_equalf
8,0.796638782,0.4905604268,-451751.921796533,2,0.04,JC_equalf
9,1.3910300457,0.4905604268,-507053.561176114,2,0.04,JC_equalf
10,1.3560508118,0.4905604268,-504492.55388009,2,0.04,JC_equalf
1,1.5598817603,0.4916080121,-518670.965194815,2,0.04,JC_equalf
2,0.6492497132,0.4916080121,-433270.68211802,2,0.04,JC_equalf
3,1.4233642504,0.4916080121,-509571.684421652,2,0.04,JC_equalf
4,1.3582900254,0.4916080121,-504873.370355756,2,0.04,JC_equalf
5,0.1653088215,0.4916080121,-347830.620195896,2,0.04,JC_equalf
6,1.4355135646,0.4916080121,-510422.098612556,2,0.04,JC_equalf
7,0.4299585935,0.4916080121,-400158.218043048,2,0.04,JC_equalf
