site	time	r_tilde	r_tilde_small_t_tilde_large_t
1	0.000002	1.397821	1.397825	1.150758
2	0.000002	0.726515	0.726513	1.014082
3	0.000002	1.342056	1.342058	1.163033
4	0.000002	1.199208	1.199210	1.100878
5	0.000002	0.254616	0.254616	0.335399
6	0.000002	1.305334	1.305336	1.147211
7	0.000002	0.357619	0.357614	0.723752
8	0.000002	0.945383	0.945377	1.113636
9	0.000002	1.284257	1.284258	1.146944
10	0.000002	1.187191	1.187192	1.104306
1	0.020002	1.342956	1.397825	1.150758
2	0.020002	0.767260	0.726513	1.014082
3	0.020002	1.305455	1.342058	1.163033
4	0.020002	1.184289	1.199210	1.100878
5	0.020002	0.257495	0.254616	0.335399
6	0.020002	1.274759	1.305336	1.147211
7	0.020002	0.414987	0.357614	0.723752
8	0.020002	1.001574	0.945377	1.113636
9	0.020002	1.270434	1.284258	1.146944
10	0.020002	1.180791	1.187192	1.104306
1	0.040002	1.288075	1.397825	1.150758
2	0.040002	0.819304	0.726513	1.014082
3	0.040002	1.269133	1.342058	1.163033
4	0.040002	1.171655	1.199210	1.100878
5	0.040002	0.265778	0.254616	0.335399
6	0.040002	1.245258	1.305336	1.147211
7	0.040002	0.477761	0.357614	0.723752
8	0.040002	1.043877	0.945377	1.113636
9	0.040002	1.247268	1.284258	1.146944
10	0.040002	1.171893	1.187192	1.104306
1	0.060002	1.246321	1.397825	1.150758
2	0.060002	0.866444	0.726513	1.014082
3	0.060002	1.240835	1.342058	1.163033
4	0.060002	1.159284	1.199210	1.100878
5	0.060002	0.275970	0.254616	0.335399
6	0.060002	1.221349	1.305336	1.147211
7	0.060002	0.533620	0.357614	0.723752
8	0.060002	1.071222	0.945377	1.113636
9	0.060002	1.224091	1.284258	1.146944
10	0.060002	1.160863	1.187192	1.104306
1	0.080002	1.217397	1.397825	1.150758
2	0.080002	0.904189	0.726513	1.014082
3	0.080002	1.220207	1.342058	1.163033
4	0.080002	1.147673	1.199210	1.100878
5	0.080002	0.286070	0.254616	0.335399
6	0.080002	1.202912	1.305336	1.147211
7	0.080002	0.578933	0.357614	0.723752
8	0.080002	1.087905	0.945377	1.113636
9	0.080002	1.204834	1.284258	1.146944
10	0.080002	1.149879	1.187192	1.104306
1	0.100002	1.197900	1.397825	1.150758
2	0.100002	0.932842	0.726513	1.014082
3	0.100002	1.205366	1.342058	1.163033
4	0.100002	1.137573	1.199210	1.100878
5	0.100002	0.295144	0.254616	0.335399
6	0.100002	1.188990	1.305336	1.147211
7	0.100002	0.614074	0.357614	0.723752
8	0.100002	1.097882	0.945377	1.113636
9	0.100002	1.190037	1.284258	1.146944
10	0.100002	1.140191	1.187192	1.104306
1	0.120002	1.184699	1.397825	1.150758
2	0.120002	0.954091	0.726513	1.014082
3	0.120002	1.194629	1.342058	1.163033
4	0.120002	1.129272	1.199210	1.100878
5	0.120002	0.302883	0.254616	0.335399
6	0.120002	1.178582	1.305336	1.147211
7	0.120002	0.640758	0.357614	0.723752
8	0.120002	1.103866	0.945377	1.113636
9	0.120002	1.179031	1.284258	1.146944
10	0.120002	1.132188	1.187192	1.104306
1	0.140002	1.175596	1.397825	1.150758
2	0.140002	0.969711	0.726513	1.014082
3	0.140002	1.186778	1.342058	1.163033
4	0.140002	1.122688	1.199210	1.100878
5	0.140002	0.309297	0.254616	0.335399
6	0.140002	1.170828	1.305336	1.147211
7	0.140002	0.660850	0.357614	0.723752
8	0.140002	1.107511	0.945377	1.113636
9	0.140002	1.170931	1.284258	1.146944
10	0.140002	1.125811	1.187192	1.104306
1	0.160002	1.169179	1.397825	1.150758
2	0.160002	0.981172	0.726513	1.014082
3	0.160002	1.180977	1.342058	1.163033
4	0.160002	1.117574	1.199210	1.100878
5	0.160002	0.314524	0.254616	0.335399
6	0.160002	1.165051	1.305336	1.147211
7	0.160002	0.675948	0.357614	0.723752
8	0.160002	1.109776	0.945377	1.113636
9	0.160002	1.164968	1.284258	1.146944
10	0.160002	1.120831	1.187192	1.104306
1	0.180002	1.164563	1.397825	1.150758
2	0.180002	0.989594	0.726513	1.014082
3	0.180002	1.176653	1.342058	1.163033
4	0.180002	1.113647	1.199210	1.100878
5	0.180002	0.318743	0.254616	0.335399
6	0.180002	1.160735	1.305336	1.147211
7	0.180002	0.687311	0.357614	0.723752
8	0.180002	1.111211	0.945377	1.113636
9	0.180002	1.160557	1.284258	1.146944
10	0.180002	1.116985	1.187192	1.104306
1	0.200002	1.161186	1.397825	1.150758
2	0.200002	0.995804	0.726513	1.014082
3	0.200002	1.173409	1.342058	1.163033
4	0.200002	1.110647	1.199210	1.100878
5	0.200002	0.322129	0.254616	0.335399
6	0.200002	1.157499	1.305336	1.147211
7	0.200002	0.695886	0.357614	0.723752
8	0.200002	1.112136	0.945377	1.113636
9	0.200002	1.157273	1.284258	1.146944
10	0.200002	1.114032	1.187192	1.104306
1	0.220002	1.158681	1.397825	1.150758
2	0.220002	1.000399	0.726513	1.014082
3	0.220002	1.170961	1.342058	1.163033
4	0.220002	1.108360	1.199210	1.100878
5	0.220002	0.324838	0.254616	0.335399
6	0.220002	1.155061	1.305336	1.147211
7	0.220002	0.702381	0.357614	0.723752
8	0.220002	1.112736	0.945377	1.113636
9	0.220002	1.154813	1.284258	1.146944
10	0.220002	1.111770	1.187192	1.104306
1	0.240002	1.156805	1.397825	1.150758
2	0.240002	1.003813	0.726513	1.014082
3	0.240002	1.169106	1.342058	1.163033
4	0.240002	1.106617	1.199210	1.100878
5	0.240002	0.326999	0.254616	0.335399
6	0.240002	1.153217	1.305336	1.147211
7	0.240002	0.707317	0.357614	0.723752
8	0.240002	1.113128	0.945377	1.113636
9	0.240002	1.152959	1.284258	1.146944
10	0.240002	1.110040	1.187192	1.104306
