site	time	r_tilde	mu_nuc	mu_rate
2	0.000002	-0.0018540776	T	3
2	0.020002	1.4175068122	T	3
2	0.040002	1.3845326207	T	3
2	0.060002	1.3849015058	T	3
2	0.080002	1.3924447386	T	3
2	0.100002	1.4024349570	T	3
2	0.120002	1.4134757830	T	3
2	0.140002	1.4250733385	T	3
2	0.160002	1.4370478233	T	3
2	0.180002	1.4493430003	T	3
2	0.200002	1.4619529737	T	3
2	0.220002	1.4748908965	T	3
2	0.240002	1.4881747330	T	3
2	0.260002	1.5018205994	T	3
2	0.280002	1.5158396810	T	3
2	0.300002	1.5302369043	T	3
2	0.320002	1.5450104967	T	3
2	0.340002	1.5601520028	T	3
2	0.360002	1.5756465412	T	3
2	0.380002	1.5914731946	T	3
2	0.400002	1.6076054718	T	3
2	0.420002	1.6240118162	T	3
2	0.440002	1.6406561401	T	3
2	0.460002	1.6574983764	T	3
2	0.480002	1.6744950408	T	3
2	0.500002	1.6915997987	T	3
2	0.520002	1.7087640348	T	3
2	0.540002	1.7259374223	T	3
2	0.560002	1.7430684907	T	3
2	0.580002	1.7601051902	T	3
2	0.600002	1.7769954535	T	3
2	0.620002	1.7936877517	T	3
2	0.640002	1.8101316434	T	3
2	0.660002	1.8262783126	T	3
2	0.680002	1.8420810916	T	3
2	0.700002	1.8574959614	T	3
2	0.720002	1.8724820220	T	3
2	0.740002	1.8870019250	T	3
2	0.760002	1.9010222557	T	3
2	0.780002	1.9145138580	T	3
2	0.800002	1.9274520906	T	3
2	0.820002	1.9398170083	T	3
2	0.840002	1.9515934608	T	3
2	0.860002	1.9627711074	T	3
2	0.880002	1.9733443457	T	3
2	0.900002	1.9833121595	T	3
2	0.920002	1.9926778887	T	3
2	0.940002	2.0014489339	T	3
2	0.960002	2.0096364026	T	3
2	0.980002	2.0172547137	T	3
2	1.000002	2.0243211699	T	3
2	1.020002	2.0308555151	T	3
2	1.040002	2.0368794871	T	3
2	1.060002	2.0424163793	T	3
2	1.080002	2.0474906201	T	3
2	1.100002	2.0521273800	T	3
2	1.120002	2.0563522112	T	3
2	1.140002	2.0601907253	T	3
2	1.160002	2.0636683103	T	3
2	1.180002	2.0668098895	T	3
2	1.200002	2.0696397197	T	3
2	1.220002	2.0721812285	T	3
2	1.240002	2.0744568867	T	3
2	1.260002	2.0764881150	T	3
2	1.280002	2.0782952182	T	3
2	1.300002	2.0798973463	T	3
2	1.320002	2.0813124771	T	3
2	1.340002	2.0825574168	T	3
2	1.360002	2.0836478169	T	3
2	1.380002	2.0845982020	T	3
2	1.400002	2.0854220081	T	3
2	1.420002	2.0861316271	T	3
2	1.440002	2.0867384573	T	3
2	1.460002	2.0872529564	T	3
2	1.480002	2.0876846969	T	3
2	1.500002	2.0880424219	T	3
2	1.520002	2.0883341006	T	3
2	1.540002	2.0885669833	T	3
2	1.560002	2.0887476537	T	3
2	1.580002	2.0888820805	T	3
2	1.600002	2.0889756655	T	3
2	1.620002	2.0890332901	T	3
2	1.640002	2.0890593580	T	3
2	1.660002	2.0890578365	T	3
2	1.680002	2.0890322940	T	3
2	1.700002	2.0889859355	T	3
2	1.720002	2.0889216350	T	3
2	1.740002	2.0888419663	T	3
2	1.760002	2.0887492298	T	3
2	1.780002	2.0886454792	T	3
2	1.800002	2.0885325440	T	3
2	1.820002	2.0884120514	T	3
2	1.840002	2.0882854461	T	3
2	1.860002	2.0881540076	T	3
2	1.880002	2.0880188671	T	3
2	1.900002	2.0878810217	T	3
2	1.920002	2.0877413488	T	3
2	1.940002	2.0876006171	T	3
2	1.960002	2.0874594989	T	3
2	1.980002	2.0873185793	T	3
3	0.000002	-0.0012455359	T	3
3	0.020002	0.9147740018	T	3
3	0.040002	0.8608926465	T	3
3	0.060002	0.8322696459	T	3
3	0.080002	0.8112043799	T	3
3	0.100002	0.7942647493	T	3
3	0.120002	0.7802134106	T	3
3	0.140002	0.7684174457	T	3
3	0.160002	0.7584746006	T	3
3	0.180002	0.7500952298	T	3
3	0.200002	0.7430561402	T	3
3	0.220002	0.7371787922	T	3
3	0.240002	0.7323170939	T	3
3	0.260002	0.7283495783	T	3
3	0.280002	0.7251739084	T	3
3	0.300002	0.7227028090	T	3
3	0.320002	0.7208609664	T	3
3	0.340002	0.7195826377	T	3
