site	time	r_tilde	mu_nuc	mu_rate
2	0.000002	-0.0019442157	G	3
2	0.020002	1.5033231888	G	3
2	0.040002	1.4702801218	G	3
2	0.060002	1.4718392038	G	3
2	0.080002	1.4802624545	G	3
2	0.100002	1.4906728316	G	3
2	0.120002	1.5017194216	G	3
2	0.140002	1.5129884194	G	3
2	0.160002	1.5243785063	G	3
2	0.180002	1.5359008661	G	3
2	0.200002	1.5476041539	G	3
2	0.220002	1.5595439058	G	3
2	0.240002	1.5717698268	G	3
2	0.260002	1.5843208443	G	3
2	0.280002	1.5972236729	G	3
2	0.300002	1.6104929709	G	3
2	0.320002	1.6241321869	G	3
2	0.340002	1.6381346682	G	3
2	0.360002	1.6524848268	G	3
2	0.380002	1.6671592748	G	3
2	0.400002	1.6821278920	G	3
2	0.420002	1.6973548172	G	3
2	0.440002	1.7127993668	G	3
2	0.460002	1.7284168864	G	3
2	0.480002	1.7441595464	G	3
2	0.500002	1.7599770901	G	3
2	0.520002	1.7758175412	G	3
2	0.540002	1.7916278795	G	3
2	0.560002	1.8073546897	G	3
2	0.580002	1.8229447858	G	3
2	0.600002	1.8383458161	G	3
2	0.620002	1.8535068455	G	3
2	0.640002	1.8683789158	G	3
2	0.660002	1.8829155778	G	3
2	0.680002	1.8970733899	G	3
2	0.700002	1.9108123763	G	3
2	0.720002	1.9240964341	G	3
2	0.740002	1.9368936821	G	3
2	0.760002	1.9491767411	G	3
2	0.780002	1.9609229384	G	3
2	0.800002	1.9721144308	G	3
2	0.820002	1.9827382419	G	3
2	0.840002	1.9927862131	G	3
2	0.860002	2.0022548712	G	3
2	0.880002	2.0111452174	G	3
2	0.900002	2.0194624464	G	3
2	0.920002	2.0272156062	G	3
2	0.940002	2.0344172104	G	3
2	0.960002	2.0410828175	G	3
2	0.980002	2.0472305895	G	3
2	1.000002	2.0528808440	G	3
2	1.020002	2.0580556116	G	3
2	1.040002	2.0627782094	G	3
2	1.060002	2.0670728386	G	3
2	1.080002	2.0709642148	G	3
2	1.100002	2.0744772343	G	3
2	1.120002	2.0776366793	G	3
2	1.140002	2.0804669649	G	3
2	1.160002	2.0829919255	G	3
2	1.180002	2.0852346409	G	3
2	1.200002	2.0872172983	G	3
2	1.220002	2.0889610886	G	3
2	1.240002	2.0904861319	G	3
2	1.260002	2.0918114310	G	3
2	1.280002	2.0929548462	G	3
2	1.300002	2.0939330903	G	3
2	1.320002	2.0947617400	G	3
2	1.340002	2.0954552594	G	3
2	1.360002	2.0960270340	G	3
2	1.380002	2.0964894129	G	3
2	1.400002	2.0968537562	G	3
2	1.420002	2.0971304860	G	3
2	1.440002	2.0973291404	G	3
2	1.460002	2.0974584280	G	3
2	1.480002	2.0975262824	G	3
2	1.500002	2.0975399165	G	3
2	1.520002	2.0975058746	G	3
2	1.540002	2.0974300833	G	3
2	1.560002	2.0973178997	G	3
2	1.580002	2.0971741576	G	3
2	1.600002	2.0970032109	G	3
2	1.620002	2.0968089740	G	3
2	1.640002	2.0965949601	G	3
2	1.660002	2.0963643169	G	3
2	1.680002	2.0961198589	G	3
2	1.700002	2.0958640983	G	3
2	1.720002	2.0955992727	G	3
2	1.740002	2.0953273712	G	3
2	1.760002	2.0950501577	G	3
2	1.780002	2.0947691926	G	3
2	1.800002	2.0944858531	G	3
2	1.820002	2.0942013506	G	3
2	1.840002	2.0939167476	G	3
2	1.860002	2.0936329725	G	3
2	1.880002	2.0933508336	G	3
2	1.900002	2.0930710308	G	3
2	1.920002	2.0927941674	G	3
2	1.940002	2.0925207601	G	3
2	1.960002	2.0922512482	G	3
2	1.980002	2.0919860018	G	3
3	0.000002	-0.0010780221	G	3
3	0.020002	0.7897212325	G	3
3	0.040002	0.7366805589	G	3
3	0.060002	0.7077769668	G	3
3	0.080002	0.6869842945	G	3
3	0.100002	0.6709272847	G	3
3	0.120002	0.6582445551	G	3
3	0.140002	0.6481730433	G	3
3	0.160002	0.6402033241	G	3
3	0.180002	0.6339627819	G	3
3	0.200002	0.6291651911	G	3
3	0.220002	0.6255843684	G	3
3	0.240002	0.6230382623	G	3
3	0.260002	0.6213783321	G	3
3	0.280002	0.6204819888	G	3
3	0.300002	0.6202469985	G	3
3	0.320002	0.6205872426	G	3
3	0.340002	0.6214294589	G	3
3	0.360002	0.6227107195	G	3
3	0.380002	0.6243764677	G	3
3	0.400002	0.6263789876	G	3
3	0.420002	0.6286762076	G	3
3	0.440002	0.6312307646	G	3
3	0.460002	0.6340092688	G	3
3	0.480002	0.6369817257	G	3
3	0.500002	0.6401210776	G	3
3	0.520002	0.6434028386	G	3
3	0.540002	0.6468047997	G	3
3	0.560002	0.6503067888	G	3
3	0.580002	0.6538904714	G	3
3	0.600002	0.6575391831	G	3
3	0.620002	0.6612377859	G	3
3	0.640002	0.6649725432	G	3
3	0.660002	0.6687310084	G	3
3	0.680002	0.6725019259	G	3
3	0.700002	0.6762751401	G	3
3	0.720002	0.6800415120	G	3
3	0.740002	0.6837928427	G	3
3	0.760002	0.6875218014	G	3
3	0.780002	0.6912218589	G	3
3	0.800002	0.6948872249	G	3
3	0.820002	0.6985127899	G	3
3	0.840002	0.7020940699	G	3
3	0.860002	0.7056271557	G	3
3	0.880002	0.7091086649	G	3
3	0.900002	0.7125356969	G	3
3	0.920002	0.7159057915	G	3
3	0.940002	0.7192168900	G	3
3	0.960002	0.7224672989	G	3
3	0.980002	0.7256556567	G	3
3	1.000002	0.7287809024	G	3
3	1.020002	0.7318422470	G	3
3	1.040002	0.7348391469	G	3
3	1.060002	0.7377712793	G	3
3	1.080002	0.7406385196	G	3
3	1.100002	0.7434409206	G	3
3	1.120002	0.7461786934	G	3
3	1.140002	0.7488521897	G	3
3	1.160002	0.7514618859	G	3
3	1.180002	0.7540083685	G	3
3	1.200002	0.7564923203	G	3
3	1.220002	0.7589145083	G	3
3	1.240002	0.7612757725	G	3
3	1.260002	0.7635770159	G	3
3	1.280002	0.7658191948	G	3
3	1.300002	0.7680033107	G	3
3	1.320002	0.7701304029	G	3
3	1.340002	0.7722015410	G	3
3	1.360002	0.7742178192	G	3
3	1.380002	0.7761803505	G	3
3	1.400002	0.7780902617	G	3
3	1.420002	0.7799486889	G	3
3	1.440002	0.7817567733	G	3
3	1.460002	0.7835156578	G	3
3	1.480002	0.7852264835	G	3
3	1.500002	0.7868903872	G	3
3	1.520002	0.7885084985	G	3
3	1.540002	0.7900819380	G	3
3	1.560002	0.7916118147	G	3
3	1.580002	0.7930992250	G	3
3	1.600002	0.7945452508	G	3
3	1.620002	0.7959509584	G	3
3	1.640002	0.7973173974	G	3
3	1.660002	0.7986455994	G	3
3	1.680002	0.7999365781	G	3
3	1.700002	0.8011913276	G	3
3	1.720002	0.8024108230	G	3
3	1.740002	0.8035960189	G	3
3	1.760002	0.8047478500	G	3
3	1.780002	0.8058672305	G	3
3	1.800002	0.8069550541	G	3
3	1.820002	0.8080121937	G	3
3	1.840002	0.8090395018	G	3
3	1.860002	0.8100378102	G	3
3	1.880002	0.8110079305	G	3
3	1.900002	0.8119506538	G	3
3	1.920002	0.8128667513	G	3
3	1.940002	0.8137569746	G	3
3	1.960002	0.8146220553	G	3
3	1.980002	0.8154627060	G	3
4	0.000002	-0.0018549205	G	3
4	0.020002	1.4267925452	G	3
4	0.040002	1.3885014732	G	3
4	0.060002	1.3834853335	G	3
4	0.080002	1.3853510381	G	3
4	0.100002	1.3894675402	G	3
4	0.120002	1.3945348007	G	3
4	0.140002	1.4001242432	G	3
4	0.160002	1.4060919214	G	3
4	0.180002	1.4123950492	G	3
4	0.200002	1.4190258001	G	3
4	0.220002	1.4259857085	G	3
4	0.240002	1.4332756488	G	3
4	0.260002	1.4408921254	G	3
4	0.280002	1.4488261631	G	3
4	0.300002	1.4570632581	G	3
4	0.320002	1.4655837420	G	3
4	0.340002	1.4743633001	G	3
4	0.360002	1.4833735430	G	3
4	0.380002	1.4925825994	G	3
4	0.400002	1.5019557198	G	3
4	0.420002	1.5114558891	G	3
4	0.440002	1.5210444421	G	3
4	0.460002	1.5306816787	G	3
4	0.480002	1.5403274687	G	3
4	0.500002	1.5499418387	G	3
4	0.520002	1.5594855304	G	3
4	0.540002	1.5689205240	G	3
4	0.560002	1.5782105149	G	3
4	0.580002	1.5873213406	G	3
4	0.600002	1.5962213490	G	3
4	0.620002	1.6048817057	G	3
4	0.640002	1.6132766362	G	3
4	0.660002	1.6213836024	G	3
4	0.680002	1.6291834141	G	3
4	0.700002	1.6366602752	G	3
