site,rate,t,lnL,num_taxa,time,br_len,site_dupl,rep
1,1.8459161518,1.5951098189,-59.708103282,2,0.48,0.24,10,1
2,0.4684407189,1.5951098189,-51.610989437,2,0.48,0.24,10,1
3,31.7496761876,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
4,1.8459588701,1.5951098189,-59.7081032826,2,0.48,0.24,10,1
5,0.2379081475,1.5951098189,-44.8992826936,2,0.48,0.24,10,1
6,69.5347497972,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
7,0.4684407169,1.5951098189,-51.610989437,2,0.48,0.24,10,1
8,1.1571784224,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
9,1.1571784407,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
10,1.8459160539,1.5951098189,-59.708103282,2,0.48,0.24,10,1
11,0.4684407188,1.5951098189,-51.610989437,2,0.48,0.24,10,1
12,1.8459162905,1.5951098189,-59.708103282,2,0.48,0.24,10,1
13,24.1167119576,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
14,1.1571784188,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
15,1.8459161696,1.5951098189,-59.708103282,2,0.48,0.24,10,1
16,1.8459159682,1.5951098189,-59.708103282,2,0.48,0.24,10,1
17,1.1571784709,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
18,0.8369336416,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
19,71.222770025,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
20,0.4684407342,1.5951098189,-51.610989437,2,0.48,0.24,10,1
21,0.8369336398,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
22,1.1571784709,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
23,0.8369336398,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
24,0.3426370401,1.5951098189,-48.4651953223,2,0.48,0.24,10,1
25,1.8459159255,1.5951098189,-59.708103282,2,0.48,0.24,10,1
26,0.2379081408,1.5951098189,-44.8992826936,2,0.48,0.24,10,1
27,0.4684407342,1.5951098189,-51.610989437,2,0.48,0.24,10,1
28,0,1.5951098189,-29.9573227355,2,0.48,0.24,10,1
29,0.3426370399,1.5951098189,-48.4651953223,2,0.48,0.24,10,1
30,1.1571784709,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
31,1.1571784375,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
32,0.6259937873,1.5951098189,-54.3540732806,2,0.48,0.24,10,1
33,0.6259937835,1.5951098189,-54.3540732806,2,0.48,0.24,10,1
34,1.8459160862,1.5951098189,-59.708103282,2,0.48,0.24,10,1
35,0.8369336334,1.5951098189,-56.6770386103,2,0.48,0.24,10,1
36,1.8459156219,1.5951098189,-59.708103282,2,0.48,0.24,10,1
37,1.1571784929,1.5951098189,-58.5168588043,2,0.48,0.24,10,1
38,41.5041293717,1.5951098189,-59.9146454711,2,0.48,0.24,10,1
